method,parameter,value
rejection,alpha,0.9563999999999999
sabc_4d,alpha,0.9752
sabc_1d,alpha,0.9772
loclin,alpha,0.9256
neuralnet,alpha,0.9052
lm,alpha,0.948
rf,alpha,0.9503999999999999
rfboot,alpha,0.9551999999999999
loess,alpha,0.9474
average,alpha,1
rejection,mu,0.984
sabc_4d,mu,0.9773999999999999
sabc_1d,mu,0.9803999999999999
loclin,mu,0.9274
neuralnet,mu,0.9328000000000001
lm,mu,0.9441999999999999
rf,mu,0.994
rfboot,mu,0.998
loess,mu,0.9478
average,mu,1
rejection,sigma,0.9468
sabc_4d,sigma,0.9803999999999999
sabc_1d,sigma,0.9796
loclin,sigma,0.925
neuralnet,sigma,0.9134
lm,sigma,0.9456
rf,sigma,0.9713999999999999
rfboot,sigma,0.9918
loess,sigma,0.9448
average,sigma,1
