method,parameter,value
rejection,alpha,0.948
sabc_4d,alpha,0.952
sabc_1d,alpha,0.9583999999999999
loclin,alpha,0.872
neuralnet,alpha,0.7152
lm,alpha,0.9472
rf,alpha,0.9536
loess,alpha,0.9464
rfboot,alpha,0.9488
average,alpha,1
rejection,mu,0.9783999999999999
sabc_4d,mu,0.9656
sabc_1d,mu,0.9672
loclin,mu,0.8528
neuralnet,mu,0.86
lm,mu,0.944
rf,mu,0.9976
loess,mu,0.9456
rfboot,mu,0.9912
average,mu,1
rejection,sigma,0.9328000000000001
sabc_4d,sigma,0.9663999999999999
sabc_1d,sigma,0.9728
loclin,sigma,0.8503999999999999
neuralnet,sigma,0.7888000000000001
lm,sigma,0.9416
rf,sigma,0.9568
loess,sigma,0.9432
rfboot,sigma,0.9792
average,sigma,1
