method,parameter,value
rejection,scout.prob,0.955
sabc_4d,scout.prob,0.9606
sabc_1d,scout.prob,0.9606
neuralnet,scout.prob,0.9136000000000001
lm,scout.prob,0.9426
rf,scout.prob,0.9818
rfboot,scout.prob,0.9568
loess,scout.prob,0.9448
average,scout.prob,1
rejection,survival.prob,0.98
sabc_4d,survival.prob,0.9846
sabc_1d,survival.prob,0.9838
neuralnet,survival.prob,0.939
lm,survival.prob,0.9416
rf,survival.prob,0.9588
rfboot,survival.prob,0.9633999999999999
loess,survival.prob,0.9486
average,survival.prob,1
