method,parameter,value
rejection,scout.prob,0.9456
sabc_4d,scout.prob,0.9388
sabc_1d,scout.prob,0.9414
neuralnet,scout.prob,0.9402
lm,scout.prob,0.9488
rf,scout.prob,0.8928
rfboot,scout.prob,0.9623999999999999
loess,scout.prob,0.9508
average,scout.prob,1
rejection,survival.prob,0.9763999999999999
sabc_4d,survival.prob,0.9856
sabc_1d,survival.prob,0.9732
neuralnet,survival.prob,0.9418
lm,survival.prob,0.946
rf,survival.prob,0.929
rfboot,survival.prob,0.961
loess,survival.prob,0.95
average,survival.prob,1
