method,parameter,value
rejection,M,1
sabc_4d,M,1
sabc_1d,M,1
neuralnet,M,NA
lm,M,NA
rf,M,1
rfboot,M,NA
loess,M,NA
average,M,NA
rejection,B_0,0.9456
sabc_4d,B_0,0.944
sabc_1d,B_0,0.9456
neuralnet,B_0,0.9472
lm,B_0,0.9336
rf,B_0,0.9352
rfboot,B_0,0.9696
loess,B_0,0.9456
average,B_0,0.9584
rejection,E,0.9688
sabc_4d,E,0.98
sabc_1d,E,0.9792
neuralnet,E,0.9696
lm,E,0.9416
rf,E,0.9736
rfboot,E,0.9848
loess,E,0.9568
average,E,0.9536
rejection,E_c,0.9456
sabc_4d,E_c,0.94
sabc_1d,E_c,0.9448
neuralnet,E_c,0.9512
lm,E_c,0.9336
rf,E_c,0.94
rfboot,E_c,0.9848
loess,E_c,0.944
average,E_c,0.9552
rejection,E_s,0.9584
sabc_4d,E_s,0.9528
sabc_1d,E_s,0.9536
neuralnet,E_s,0.9616
lm,E_s,0.9384
rf,E_s,0.9424
rfboot,E_s,0.9856
loess,E_s,0.952
average,E_s,0.956
rejection,IGm,0.964
sabc_4d,IGm,0.9688
sabc_1d,IGm,0.9736
neuralnet,IGm,0.9576
lm,IGm,0.94
rf,IGm,0.9936
rfboot,IGm,0.9864
loess,IGm,0.948
average,IGm,0.9512
rejection,M_b,0.9552
sabc_4d,M_b,0.9744
sabc_1d,M_b,0.9744
neuralnet,M_b,0.944
lm,M_b,0.944
rf,M_b,0.9928
rfboot,M_b,0.9992
loess,M_b,0.9456
average,M_b,0.9512
rejection,M_c,0.9472
sabc_4d,M_c,0.9472
sabc_1d,M_c,0.9472
neuralnet,M_c,0.9488
lm,M_c,0.9352
rf,M_c,0.9456
rfboot,M_c,0.9952
loess,M_c,0.9416
average,M_c,0.9536
rejection,M_m,0.9696
sabc_4d,M_m,0.984
sabc_1d,M_m,0.9816
neuralnet,M_m,0.9728
lm,M_m,0.9424
rf,M_m,0.996
rfboot,M_m,0.9888
loess,M_m,0.9464
average,M_m,0.9568
rejection,M_p,0.9592
sabc_4d,M_p,0.968
sabc_1d,M_p,0.9568
neuralnet,M_p,0.96
lm,M_p,0.9448
rf,M_p,0.9824
rfboot,M_p,0.9808
loess,M_p,0.9552
average,M_p,0.9552
rejection,r_B,0.972
sabc_4d,r_B,0.9856
sabc_1d,r_B,0.9848
neuralnet,r_B,0.9664
lm,r_B,0.9352
rf,r_B,0.992
rfboot,r_B,0.9864
loess,r_B,0.9504
average,r_B,0.9624
rejection,r_m,0.952
sabc_4d,r_m,0.9552
sabc_1d,r_m,0.9576
neuralnet,r_m,0.948
lm,r_m,0.9472
rf,r_m,0.9448
rfboot,r_m,0.9784
loess,r_m,0.9544
average,r_m,0.9592
