method,parameter,value
rejection,A,0.9662
sabc_4d,A,0.975
sabc_1d,A,0.9743999999999999
loclin,A,0.914
neuralnet,A,0.9074
lm,A,0.9448
rf,A,0.9928
rfboot,A,0.9543999999999999
loess,A,0.9463999999999999
average,A,1
rejection,B,0.9581999999999999
sabc_4d,B,0.976
sabc_1d,B,0.9732
loclin,B,0.9072
neuralnet,B,0.9014
lm,B,0.9438
rf,B,0.9832
rfboot,B,0.957
loess,B,0.947
average,B,1
rejection,g,0.9508
sabc_4d,g,0.9608
sabc_1d,g,0.9628
loclin,g,0.9256
neuralnet,g,0.8898
lm,g,0.948
rf,g,0.9578
rfboot,g,0.958
loess,g,0.9473999999999999
average,g,1
rejection,k,0.9524
sabc_4d,k,0.9673999999999999
sabc_1d,k,0.9663999999999999
loclin,k,0.9468
neuralnet,k,0.9236
lm,k,0.9454
rf,k,0.9884
rfboot,k,0.9623999999999999
loess,k,0.9464
average,k,1
