method,parameter,value
rejection,A,0.9591999999999999
sabc_4d,A,0.96
sabc_1d,A,0.9608
loclin,A,0.8176
neuralnet,A,0.7808
lm,A,0.9456
rf,A,0.992
rfboot,A,0.9568
loess,A,0.9392
average,A,1
rejection,B,0.9504
sabc_4d,B,0.9648
sabc_1d,B,0.9623999999999999
loclin,B,0.7984
neuralnet,B,0.7448
lm,B,0.9448
rf,B,0.9743999999999999
rfboot,B,0.9488
loess,B,0.9312
average,B,1
rejection,g,0.936
sabc_4d,g,0.9312
sabc_1d,g,0.9384
loclin,g,0.824
neuralnet,g,0.6312
lm,g,0.9424
rf,g,0.944
rfboot,g,0.9576
loess,g,0.9376
average,g,1
rejection,k,0.944
sabc_4d,k,0.9488
sabc_1d,k,0.948
loclin,k,0.8496
neuralnet,k,0.8392
lm,k,0.9488
rf,k,0.9863999999999999
rfboot,k,0.9511999999999999
loess,k,0.9464
average,k,1
