method,parameter,value
rejection,theta1,0.9591999999999999
sabc_4d,theta1,0.9328
sabc_1d,theta1,0.9576
loclin,theta1,0.9648
neuralnet,theta1,0.0048000000000000004
lm,theta1,0.9344
rf,theta1,0.9672
rfboot,theta1,0.9544
loess,theta1,0.9432
average,theta1,0.9416
rejection,theta2,0.9456
sabc_4d,theta2,0.9208000000000001
sabc_1d,theta2,0.9456
loclin,theta2,0.9536
neuralnet,theta2,0.0088
lm,theta2,0.9424
rf,theta2,0.9551999999999999
rfboot,theta2,0.9471999999999999
loess,theta2,0.9416
average,theta2,0.9568
