method,parameter,value
rejection,theta1,0.9593999999999999
sabc_4d,theta1,0.9483999999999999
sabc_1d,theta1,0.9548
loclin,theta1,0.9476
neuralnet,theta1,0.933
lm,theta1,0.9451999999999999
rf,theta1,0.8978
rfboot,theta1,0.9576
loess,theta1,0.95
average,theta1,1
rejection,theta2,0.9591999999999999
sabc_4d,theta2,0.9466
sabc_1d,theta2,0.954
loclin,theta2,0.9473999999999999
neuralnet,theta2,0.9308000000000001
lm,theta2,0.9428
rf,theta2,0.8856
rfboot,theta2,0.9538
loess,theta2,0.949
average,theta2,1
