method,parameter,value
rejection,sigma,0.9398878470307042
sabc_4d,sigma,0.9228902371759514
sabc_1d,sigma,0.929355120426549
loclin,sigma,0.7733866519580805
neuralnet,sigma,0.8766822945394374
lm,sigma,0.9554950358521787
rf,sigma,0.92526889134032
rfboot,sigma,0.99388444567016
loess,sigma,0.9490393454679169
average,sigma,1
rejection,beta,0.97214101856959
sabc_4d,beta,0.9616013973156831
sabc_1d,beta,0.9639846479132194
loclin,beta,0.808078231292517
neuralnet,beta,0.9215526751241037
lm,beta,0.9412254090825519
rf,beta,0.9860613164184593
rfboot,beta,0.9724788564074278
loess,beta,0.9344617576760433
average,beta,1
rejection,delta,0.936139455782313
sabc_4d,delta,0.9504044861187718
sabc_1d,delta,0.9493978672550101
loclin,delta,0.783979132193418
neuralnet,delta,0.8393362750505607
lm,delta,0.9473524544953116
rf,delta,0.9293413311270454
rfboot,delta,0.9898074094502666
loess,delta,0.9398855488141202
average,delta,1
rejection,eta,0.9412254090825519
sabc_4d,eta,0.9354568854568854
sabc_1d,eta,0.934438775510204
loclin,eta,0.7795803456517743
neuralnet,eta,0.8447738554881412
lm,eta,0.9446382607096893
rf,eta,0.9262755102040816
rfboot,eta,0.9653497885640743
loess,eta,0.9412300055157198
average,eta,1
rejection,mu,0.9412162162162162
sabc_4d,mu,0.9269534840963413
sabc_1d,mu,0.9310236256664828
loclin,mu,0.7829472329472329
neuralnet,mu,0.8627459091744806
lm,mu,0.9480189373046516
rf,mu,0.9286426732855304
rfboot,mu,0.9864083471226328
loess,mu,0.9466560948703806
average,mu,1
rejection,phi,0.9680961573818717
sabc_4d,phi,0.9527992277992278
sabc_1d,phi,0.9585792425078139
loclin,phi,0.8080966170251884
neuralnet,phi,0.9201898326898327
lm,phi,0.9422458172458172
rf,phi,0.9745288656002942
rfboot,phi,0.9684293987865417
loess,phi,0.9344180915609487
average,phi,1
