method,parameter,value
rejection,sigma,0.9577828038831412
sabc_4d,sigma,0.9621729866460051
sabc_1d,sigma,0.9530542135727633
neuralnet,sigma,0.8672633426006108
lm,sigma,0.9452873615605487
rf,sigma,0.9702782462057336
rfboot,sigma,0.973319926165626
loess,sigma,0.9415722847636844
average,sigma,1
rejection,beta,0.9675778223417346
sabc_4d,beta,0.9679162298892484
sabc_1d,beta,0.9662281801194111
neuralnet,beta,0.89294414566337
lm,beta,0.9466409917506039
rf,beta,0.9942590355954606
rfboot,beta,0.9841273187183811
loess,beta,0.9314377193382253
average,beta,1
rejection,delta,0.941577981860444
sabc_4d,delta,0.9564371496285493
sabc_1d,delta,0.9395509548334169
neuralnet,delta,0.8392524269632196
lm,delta,0.9432666013399571
rf,delta,0.9479900642632515
rfboot,delta,0.989191468027893
loess,delta,0.9321179526913085
average,delta,1
rejection,eta,0.9435993117907114
sabc_4d,eta,0.9662281801194111
sabc_1d,eta,0.9611611822615195
neuralnet,eta,0.8669368989562919
lm,eta,0.9395520942527688
rf,eta,0.9560958935326558
rfboot,eta,0.9625119639031949
loess,eta,0.9263730003190375
average,eta,1
rejection,mu,0.9452890706895766
sabc_4d,mu,0.9638604667061665
sabc_1d,mu,0.9685896267262203
neuralnet,mu,0.8899064536712091
lm,mu,0.9466370037828723
rf,mu,0.9466381432022242
rfboot,mu,0.9885169317715692
loess,mu,0.928057631830819
average,mu,1
rejection,phi,0.963193906385306
sabc_4d,phi,0.9638684426416299
sabc_1d,phi,0.9665671573766009
neuralnet,phi,0.9054367394375826
lm,phi,0.942249099858712
rf,phi,0.9878446743539493
rfboot,phi,0.9814257554350303
loess,phi,0.9280593409598469
average,phi,1
