method,parameter,value
rejection,I,0.9753999999999999
sabc_4d,I,0.9722
sabc_1d,I,0.977
loclin,I,0.9464
neuralnet,I,0.933
lm,I,0.9438
rf,I,0.9852
rfboot,I,0.961
loess,I,0.7748
average,I,1
rejection,h,0.9388
sabc_4d,h,0.9396
sabc_1d,h,0.9380000000000001
loclin,h,0.9386
neuralnet,h,0.9228000000000001
lm,h,0.9414
rf,h,0.918
rfboot,h,0.956
loess,h,0.8148
average,h,1
rejection,A,0.9696
sabc_4d,A,0.972
sabc_1d,A,0.9633999999999999
loclin,A,0.942
neuralnet,A,0.935
lm,A,0.9404
rf,A,0.9688
rfboot,A,0.9523999999999999
loess,A,0.9254
average,A,1
rejection,sigma,0.9456
sabc_4d,sigma,0.9422
sabc_1d,sigma,0.9406
loclin,sigma,0.9392
neuralnet,sigma,0.9102
lm,sigma,0.9382
rf,sigma,0.9004
rfboot,sigma,0.9713999999999999
loess,sigma,0.7452
average,sigma,1
