method,parameter,value
rejection,I,0.9703999999999999
sabc_4d,I,0.9591999999999999
sabc_1d,I,0.964
loclin,I,0.9144
neuralnet,I,0.8688
lm,I,0.9344
rf,I,0.9856
rfboot,I,0.9568
loess,I,0.9488
average,I,1
rejection,h,0.916
sabc_4d,h,0.9032
sabc_1d,h,0.9056000000000001
loclin,h,0.9064
neuralnet,h,0.8328
lm,h,0.94
rf,h,0.8984
rfboot,h,0.9536
loess,h,0.948
average,h,1
rejection,A,0.964
sabc_4d,A,0.9616
sabc_1d,A,0.9408
loclin,A,0.9056000000000001
neuralnet,A,0.8944
lm,A,0.9464
rf,A,0.9632
rfboot,A,0.9536
loess,A,0.9432
average,A,1
rejection,sigma,0.928
sabc_4d,sigma,0.9072
sabc_1d,sigma,0.912
loclin,sigma,0.908
neuralnet,sigma,0.7728
lm,sigma,0.9448
rf,sigma,0.892
rfboot,sigma,0.968
loess,sigma,0.9496
average,sigma,1
