"mean_count turtles with [exposed?]","mean_count turtles with [recovered?]","mean_count turtles with [infected?]","last_count turtles with [recovered?]","last_count turtles with [infected?]","sd_count turtles with [exposed?]","sd_count turtles with [recovered?]","sd_count turtles with [infected?]","trend_count turtles with [exposed?]","trend_count turtles with [recovered?]","trend_count turtles with [infected?]","max_count turtles with [exposed?]","max_count turtles with [recovered?]","max_count turtles with [infected?]","snap_25_count turtles with [exposed?]","snap_25_count turtles with [recovered?]","snap_25_count turtles with [infected?]","snap_50_count turtles with [exposed?]","snap_50_count turtles with [recovered?]","snap_50_count turtles with [infected?]","snap_75_count turtles with [exposed?]","snap_75_count turtles with [recovered?]","snap_75_count turtles with [infected?]","snap_100_count turtles with [exposed?]","snap_100_count turtles with [recovered?]","snap_100_count turtles with [infected?]","snap_125_count turtles with [exposed?]","snap_125_count turtles with [recovered?]","snap_125_count turtles with [infected?]","snap_150_count turtles with [exposed?]","snap_150_count turtles with [recovered?]","snap_150_count turtles with [infected?]","snap_200_count turtles with [exposed?]","snap_200_count turtles with [recovered?]","snap_200_count turtles with [infected?]","snap_250_count turtles with [exposed?]","snap_250_count turtles with [recovered?]","snap_250_count turtles with [infected?]","snap_300_count turtles with [exposed?]","snap_300_count turtles with [recovered?]","snap_300_count turtles with [infected?]"
48.1970074812968,1887.78304239401,76.4638403990025,2525,0,90.7763335577444,987.835546861231,142.192308802228,-0.410336844456024,6.97785964193993,-0.599836230319723,337,2525,508,26,5,14,119,70,116,233,420,307,308,1156,489,89,2111,263,5,2488,25,0,2525,0,0,2525,0,0,2525,0
52.7506234413965,2108.34164588529,83.1870324189526,2746,0,91.8430986462126,1023.95678704325,143.218116379435,-0.482038374213719,7.13039788588231,-0.703668626940112,331,2746,483,56,11,48,187,180,225,297,753,399,202,1649,406,86,2394,211,10,2712,23,0,2746,0,0,2746,0,0,2746,0
53.5211970074813,2229.51122194514,85.3142144638404,2818,0,104.535214864164,1026.51303351629,165.749069792567,-0.525046525477351,6.82865801913128,-0.78108013548219,374,2818,540,61,5,35,297,194,340,303,1078,524,166,2137,376,18,2729,64,0,2815,3,0,2818,0,0,2818,0,0,2818,0
16.7406483790524,593.972568578554,25.8354114713217,862,0,19.1060191734676,322.19199639235,29.1895147862914,-0.11195053411248,2.53606989987717,-0.157840287341348,66,862,101,9,11,11,38,39,43,56,146,92,45,322,97,26,502,61,28,609,34,14,777,36,2,848,6,0,861,1
36.5187032418953,1114.22194513716,57.5112219451372,1898,0,44.0339392378448,791.531028888304,67.4618244221665,-0.133915770275803,6.47018126325976,-0.175287527450032,142,1898,200,0,5,5,12,15,20,46,80,54,61,223,105,84,439,92,121,663,141,105,1387,193,2,1870,17,0,1898,0
48.8528678304239,1904.80049875312,76.3266832917706,2515,0,93.2855311514038,969.901149345119,144.911291159311,-0.429094242006923,6.76811422935199,-0.621420888078312,360,2515,556,17,5,14,120,73,139,322,465,385,232,1429,446,68,2189,180,12,2459,38,0,2515,0,0,2515,0,0,2515,0
32.7206982543641,1222.89027431421,52.1620947630923,1718,0,49.709749020108,671.211647129332,77.8750912359878,-0.244811850969591,5.04137678192578,-0.354150816987382,167,1718,260,9,6,11,58,40,48,154,210,175,157,636,254,73,1122,193,42,1438,75,10,1669,16,1,1717,0,0,1718,0
8.49376558603491,209.618453865337,13.6134663341646,451,2,4.35123579028487,146.614739552231,6.72604037726486,-0.000335913946477,1.26151896378457,0.008679234748949,20,451,29,6,6,2,8,16,6,12,31,12,13,70,23,12,113,23,13,157,15,6,204,9,8,258,20,12,341,18
35.3316708229426,1272.463840399,55.6733167082294,1836,0,49.8557242085647,726.482757072326,78.6303927534419,-0.243357464547586,5.55301019838464,-0.345857371496631,163,1836,244,12,6,8,44,35,37,152,166,156,148,576,243,107,1046,201,71,1425,129,15,1759,27,2,1816,6,2,1831,1
48.7955112219451,1970.07481296758,77.5910224438903,2568,0,90.5368476249086,971.450220321464,142.785636442417,-0.442819443927495,6.71352551457178,-0.654543864220047,302,2568,462,29,3,18,186,108,186,245,647,434,253,1511,443,44,2307,181,1,2543,21,0,2568,0,0,2568,0,0,2568,0
32.4114713216958,1193.52867830424,51.9700748129676,1716,0,48.9138666657966,690.668576160276,77.5416168671924,-0.225838575203781,5.23683384821528,-0.3266561208918,156,1716,246,17,5,16,33,53,37,87,173,110,149,444,208,144,905,220,65,1353,172,3,1700,8,0,1716,0,0,1716,0
32.8628428927681,1121.62842892768,50.6159600997506,1666,0,40.2254077955335,656.212524185218,61.6260716974258,-0.206720512152455,5.15479361298247,-0.284736479696282,128,1666,192,10,7,8,52,43,60,78,196,124,82,460,140,123,741,186,82,1119,174,22,1545,35,2,1650,9,0,1666,0
0.581047381546135,24.1745635910224,0.895261845386534,29,0,1.13833228859206,8.81222520643043,1.76810266279989,-0.006433729110061,0.057302452823166,-0.009352365355269,6,29,8,2,6,2,1,11,2,6,16,1,3,25,1,0,28,1,0,29,0,0,29,0,0,29,0,0,29,0
52.1321695760599,2176.03740648379,82.85536159601,2735,0,107.305771819909,993.338342881541,168.004286928533,-0.517333345740127,6.53378977928314,-0.770330144787285,399,2735,600,82,11,46,247,233,289,388,1027,571,120,2186,345,14,2688,33,0,2734,1,0,2735,0,0,2735,0,0,2735,0
49.573566084788,2103.15960099751,78.8927680798005,2595,0,106.233945007336,915.748364342987,166.899438035385,-0.515811032121189,5.85984553541519,-0.768228868128187,396,2595,618,87,8,54,393,270,406,284,1310,578,57,2293,185,11,2550,30,0,2592,3,0,2595,0,0,2595,0,0,2595,0
