mean_dead,mean_recovered,mean_infected,min_dead,min_recovered,min_infected,last_dead,last_recovered,last_infected,sd_dead,sd_recovered,sd_infected,trend_dead,trend_recovered,trend_infected,max_dead,max_recovered,max_infected,snap_25_dead,snap_25_recovered,snap_25_infected,snap_50_dead,snap_50_recovered,snap_50_infected,snap_75_dead,snap_75_recovered,snap_75_infected,snap_100_dead,snap_100_recovered,snap_100_infected,snap_125_dead,snap_125_recovered,snap_125_infected,snap_150_dead,snap_150_recovered,snap_150_infected,snap_175_dead,snap_175_recovered,snap_175_infected,snap_200_dead,snap_200_recovered,snap_200_infected,snap_225_dead,snap_225_recovered,snap_225_infected,snap_250_dead,snap_250_recovered,snap_250_infected,snap_275_dead,snap_275_recovered,snap_275_infected,snap_300_dead,snap_300_recovered,snap_300_infected,snap_325_dead,snap_325_recovered,snap_325_infected,snap_350_dead,snap_350_recovered,snap_350_infected,snap_375_dead,snap_375_recovered,snap_375_infected,snap_400_dead,snap_400_recovered,snap_400_infected
3.838,0.0,0.164,0.0,0.0,0.0,4.0,0.0,0.0,0.7614170998867958,0.0,0.9301096709528511,0.0018635114540458127,0.0,-0.0018538634154536616,4.0,0.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
276.762,3.488,11.418,0.0,0.0,0.0,323.0,4.0,0.0,93.47978046615167,1.2735211030838989,38.19773914775609,0.4432578210312838,0.005337909351637399,-0.10408107232428933,323.0,4.0,245.0,3.0,0.0,16.0,103.0,0.0,173.0,258.0,3.0,10.0,276.0,4.0,6.0,287.0,4.0,5.0,293.0,4.0,6.0,302.0,4.0,3.0,307.0,4.0,7.0,317.0,4.0,2.0,322.0,4.0,1.0,323.0,4.0,0.0,323.0,4.0,0.0,323.0,4.0,0.0,323.0,4.0,0.0,323.0,4.0,0.0,323.0,4.0,0.0
0.97,0.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.17058722109231886,0.0,0.23323807579381164,0.0003492013968055852,0.0,-0.0004611858447433789,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2.864,0.0,0.088,0.0,0.0,0.0,3.0,0.0,0.0,0.5740243897257319,0.0,0.38504025763548705,0.0015526142104568396,0.0,-0.0009889959559838235,3.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
425.188,3.78,14.862,0.0,0.0,0.0,478.0,4.0,0.0,135.36091258557545,1.3724430771438214,53.13088514226003,0.5520292801171202,0.0033212292849171357,-0.14458488233952926,478.0,5.0,319.0,2.0,0.0,55.0,232.0,0.0,194.0,439.0,5.0,14.0,460.0,5.0,4.0,466.0,5.0,4.0,470.0,5.0,2.0,473.0,4.0,2.0,475.0,4.0,3.0,478.0,4.0,0.0,478.0,4.0,0.0,478.0,4.0,0.0,478.0,4.0,0.0,478.0,4.0,0.0,478.0,4.0,0.0,478.0,4.0,0.0,478.0,4.0,0.0
214.912,2.93,8.792,0.0,0.0,0.0,251.0,3.0,0.0,70.3184204600756,1.1014081895464618,25.408438283373208,0.3455897663590651,0.0024248256993027934,-0.08018537674150698,251.0,4.0,166.0,6.0,0.0,44.0,120.0,0.0,55.0,182.0,3.0,7.0,199.0,4.0,12.0,218.0,4.0,9.0,231.0,4.0,3.0,237.0,4.0,4.0,244.0,4.0,2.0,248.0,4.0,3.0,251.0,3.0,0.0,251.0,3.0,0.0,251.0,3.0,0.0,251.0,3.0,0.0,251.0,3.0,0.0,251.0,3.0,0.0,251.0,3.0,0.0
298.594,3.542,11.69,0.0,0.0,0.0,333.0,4.0,0.0,93.14606359905946,1.2313553508228066,43.763888081385275,0.36653729014916026,0.004857667430669717,-0.11578246312985253,333.0,4.0,272.0,3.0,0.0,56.0,188.0,1.0,135.0,311.0,4.0,8.0,324.0,4.0,6.0,332.0,4.0,1.0,333.0,4.0,0.0,333.0,4.0,0.0,333.0,4.0,0.0,333.0,4.0,0.0,333.0,4.0,0.0,333.0,4.0,0.0,333.0,4.0,0.0,333.0,4.0,0.0,333.0,4.0,0.0,333.0,4.0,0.0,333.0,4.0,0.0
2.872,0.0,0.128,0.0,0.0,0.0,3.0,0.0,0.0,0.5723774978106568,0.0,0.6779498506526779,0.001467557870231479,0.0,-0.0014486457945831783,3.0,0.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
519.05,3.642,17.296,0.0,0.0,0.0,579.0,4.0,0.0,160.28050255723437,1.0666939579841883,60.003103119756005,0.6363642254569011,0.0038918075672302625,-0.1710416761667046,579.0,4.0,367.0,8.0,0.0,90.0,353.0,2.0,146.0,540.0,4.0,15.0,561.0,4.0,5.0,572.0,4.0,5.0,579.0,4.0,0.0,579.0,4.0,0.0,579.0,4.0,0.0,579.0,4.0,0.0,579.0,4.0,0.0,579.0,4.0,0.0,579.0,4.0,0.0,579.0,4.0,0.0,579.0,4.0,0.0,579.0,4.0,0.0,579.0,4.0,0.0
0.97,0.0,0.038,0.0,0.0,0.0,1.0,0.0,0.0,0.17058722109231886,0.0,0.246081287382847,0.0003492013968055852,0.0,-0.000440305761223045,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
