mean_count lineageA,mean_count lineageB,mean_count lineageC,mean_count lineageD,mean_count turtles,min_count lineageA,min_count lineageB,min_count lineageC,min_count lineageD,min_count turtles,last_count lineageA,last_count lineageB,last_count lineageC,last_count lineageD,last_count turtles,sd_count lineageA,sd_count lineageB,sd_count lineageC,sd_count lineageD,sd_count turtles,trend_count lineageA,trend_count lineageB,trend_count lineageC,trend_count lineageD,trend_count turtles,max_count lineageA,max_count lineageB,max_count lineageC,max_count lineageD,max_count turtles,snap_50_count lineageA,snap_50_count lineageB,snap_50_count lineageC,snap_50_count lineageD,snap_50_count turtles,snap_100_count lineageA,snap_100_count lineageB,snap_100_count lineageC,snap_100_count lineageD,snap_100_count turtles,snap_150_count lineageA,snap_150_count lineageB,snap_150_count lineageC,snap_150_count lineageD,snap_150_count turtles
0.085,0.08,0.09,0.08,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6146340374564406,0.6112282715974444,0.6260191690355806,0.6508456038109187,2.488528681771636,-0.0025043126078151947,-0.0023610590264756598,-0.002649066226655664,-0.0023640591014775334,-0.009878496962424054,5.0,5.0,5.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.045,21.425,69.675,83.39,235.535,5.0,5.0,5.0,5.0,20.0,78.0,27.0,90.0,108.0,303.0,26.152685808535942,8.449519217091604,31.776396507470732,37.908942216843826,104.21601976183877,0.37239555988899725,0.12071326783169581,0.4489574739368484,0.5401065026625667,1.482172804320108,78.0,27.0,90.0,108.0,303.0,38.0,14.0,48.0,55.0,155.0,78.0,27.0,90.0,108.0,303.0,78.0,27.0,90.0,108.0,303.0
0.09,0.09,0.08,0.085,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6941901756723434,0.6260191690355806,0.6112282715974444,0.6540451054782118,2.5760386254868086,-0.0026550663766594187,-0.002649066226655664,-0.0023610590264756598,-0.002507312682817071,-0.010172504312607826,6.0,5.0,5.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.57,0.365,0.845,0.275,2.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4611981385151058,1.01082886781097,1.827833416917416,1.0813764376941093,5.019160786426371,-0.01500187504687617,-0.009672991824795621,-0.021050776269406726,-0.007790444761119027,-0.053516087902197536,7.0,5.0,8.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,0.25,0.22,0.155,0.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856679636737097,1.0712142642814275,1.0107423014794559,0.9544501034627189,3.740424441156376,-0.0054571364284107075,-0.007131178279456985,-0.006322658066451659,-0.0045293632340808535,-0.0234403360084002,5.0,6.0,6.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.06,38.525,31.82,32.885,137.29,5.0,5.0,5.0,5.0,20.0,43.0,47.0,41.0,41.0,172.0,13.760683122577891,13.469572190682225,13.911419769383754,12.932199155596052,53.92954570548511,0.19631440786019652,0.1892139803495088,0.19866496662416558,0.18136428410710267,0.7655576389409736,43.0,47.0,41.0,41.0,172.0,21.0,26.0,19.0,23.0,89.0,43.0,47.0,41.0,41.0,172.0,43.0,47.0,41.0,41.0,172.0
46.875,46.875,51.25,18.845,163.845,5.0,5.0,5.0,5.0,20.0,58.0,60.0,66.0,22.0,206.0,17.80279121373949,20.35115168731244,23.238491775500407,5.117711891070071,66.38374029082699,0.2494809870246757,0.2889634740868522,0.3266331658291457,0.07127653191329787,0.9363541588539714,58.0,60.0,66.0,22.0,206.0,38.0,29.0,38.0,17.0,122.0,58.0,60.0,66.0,22.0,206.0,58.0,60.0,66.0,22.0,206.0
17.115,12.01,5.79,21.825,56.74,5.0,5.0,5.0,5.0,20.0,20.0,14.0,6.0,26.0,66.0,4.818897695531629,3.318116935853823,0.40730823708832614,6.6823929097292805,15.142073834188025,0.06616290407260185,0.045370134253356335,0.004977124428110713,0.093673591839796,0.21018375459386499,20.0,14.0,6.0,26.0,66.0,16.0,12.0,6.0,17.0,51.0,20.0,14.0,6.0,26.0,66.0,20.0,14.0,6.0,26.0,66.0
37.075,25.6,25.885,20.075,108.635,5.0,5.0,5.0,5.0,20.0,46.0,32.0,32.0,24.0,134.0,13.893861054436941,10.013490899781125,9.444669131314228,6.21042470367367,39.49508545376246,0.19737118427960698,0.1412870321758044,0.13419110477761942,0.0875639390984775,0.5604132603315082,46.0,32.0,32.0,24.0,134.0,27.0,16.0,17.0,15.0,75.0,46.0,32.0,32.0,24.0,134.0,46.0,32.0,32.0,24.0,134.0
0.185,0.195,0.17,0.185,0.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8779379249126859,0.791817529485174,0.8006872048434354,0.8664727347124044,3.2870617578622054,-0.005331883297082427,-0.005519387984699614,-0.004899122478061949,-0.005328883222080545,-0.021079276981924553,5.0,5.0,5.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
