random-seed,gerreproduce,patch-variability,ger-gain-from-food,grass-regrowth-time
89987.97319172944,3.0,88.0,5.0,10.0
78064.88915977538,5.0,8.0,15.0,3.0
88909.98547262367,4.0,91.0,5.0,6.0
9400.479090100534,5.0,80.0,18.0,6.0
37402.944984335365,5.0,88.0,16.0,7.0
59651.20359959245,4.0,10.0,17.0,9.0
91430.0717924552,4.0,11.0,14.0,8.0
83013.1827908012,2.0,21.0,6.0,3.0
60927.32518700541,4.0,15.0,16.0,5.0
98053.71997681545,3.0,15.0,3.0,6.0
53463.56682267125,2.0,25.0,6.0,5.0
32466.73681491031,5.0,25.0,10.0,6.0
59965.55053162024,4.0,82.0,10.0,7.0
47153.05224734113,4.0,24.0,3.0,6.0
41987.95467193773,4.0,92.0,8.0,1.0
83782.97188634746,4.0,26.0,16.0,7.0
5630.538461815301,3.0,11.0,13.0,2.0
83126.17378834072,2.0,39.0,3.0,4.0
98356.51440081467,5.0,46.0,10.0,10.0
14900.225067133928,3.0,97.0,15.0,9.0
98324.23077722355,2.0,71.0,17.0,10.0
17296.110758247076,1.0,18.0,6.0,5.0
38853.419088272145,1.0,62.0,4.0,2.0
16638.302613075248,2.0,75.0,15.0,5.0
83490.12525492933,2.0,68.0,3.0,9.0
28803.771342024498,3.0,73.0,6.0,4.0
53444.95855294421,2.0,57.0,17.0,5.0
20934.1226850007,4.0,47.0,17.0,9.0
65755.85138613348,2.0,80.0,12.0,4.0
99342.85068537436,4.0,15.0,6.0,1.0
5916.322876661837,4.0,51.0,4.0,8.0
9133.062927342295,5.0,34.0,19.0,2.0
29903.450470533757,3.0,91.0,11.0,3.0
30632.966832775717,4.0,51.0,5.0,1.0
61135.73372968978,2.0,6.0,12.0,1.0
61403.74647049585,2.0,62.0,10.0,3.0
57552.41506275167,3.0,76.0,9.0,4.0
40055.10392762108,3.0,65.0,16.0,6.0
55015.5816689513,2.0,41.0,4.0,7.0
53560.92767080655,4.0,80.0,4.0,8.0
14336.14929841883,5.0,61.0,11.0,10.0
58913.95077665443,4.0,99.0,6.0,8.0
22766.398811313727,2.0,99.0,2.0,7.0
67799.51599251696,2.0,14.0,11.0,7.0
45062.32485953668,3.0,82.0,7.0,7.0
50367.1680839743,2.0,46.0,18.0,4.0
14722.678193802856,2.0,23.0,18.0,2.0
95362.89162213798,2.0,26.0,18.0,5.0
43908.88492641267,5.0,34.0,16.0,2.0
69196.11304343387,4.0,24.0,6.0,4.0
79257.64014125662,4.0,86.0,7.0,8.0
56165.459150076946,4.0,63.0,19.0,6.0
7412.86054178286,5.0,84.0,4.0,4.0
42693.39866333315,4.0,21.0,18.0,4.0
94189.49256145825,2.0,65.0,12.0,5.0
29789.001939423746,3.0,50.0,4.0,2.0
16957.470708549477,2.0,53.0,5.0,9.0
29164.366977641108,3.0,71.0,16.0,2.0
99501.07784368364,2.0,33.0,8.0,10.0
66242.27705280228,3.0,18.0,12.0,7.0
80037.150382624,5.0,73.0,2.0,6.0
93970.8384846901,3.0,70.0,5.0,9.0
75284.80666050634,3.0,7.0,15.0,8.0
75190.7254439997,5.0,57.0,13.0,8.0
55277.20310878022,2.0,58.0,10.0,5.0
17005.633630165514,2.0,10.0,13.0,4.0
53516.28081755898,3.0,15.0,3.0,6.0
85638.66725927705,3.0,70.0,5.0,5.0
68851.44029948121,4.0,83.0,3.0,5.0
66338.97836034489,4.0,50.0,14.0,8.0
79560.48784952938,3.0,50.0,8.0,4.0
70353.74580861224,2.0,91.0,12.0,10.0
98425.68622526314,2.0,67.0,2.0,10.0
11488.841283505095,4.0,58.0,4.0,2.0
70218.5168990974,3.0,59.0,3.0,3.0
51923.02240482222,2.0,20.0,19.0,9.0
37172.56138356404,1.0,21.0,20.0,7.0
71597.4952574134,5.0,87.0,15.0,6.0
39131.52313032334,4.0,83.0,2.0,4.0
71991.0090378665,3.0,20.0,19.0,6.0
25122.390835709466,3.0,96.0,3.0,3.0
43863.07729716039,2.0,55.0,20.0,4.0
77077.89964805094,4.0,71.0,3.0,3.0
63829.53187287376,4.0,19.0,4.0,9.0
10355.981088175304,4.0,36.0,11.0,4.0
91823.920118511,2.0,42.0,3.0,7.0
45428.23027805922,3.0,41.0,10.0,3.0
44865.81626972578,4.0,43.0,14.0,5.0
13848.961068597766,5.0,36.0,8.0,10.0
81564.16214212643,2.0,72.0,5.0,2.0
21351.64211300362,4.0,86.0,14.0,8.0
89084.90464941166,5.0,38.0,15.0,5.0
77197.51631357023,5.0,15.0,11.0,10.0
39482.246550398966,5.0,59.0,5.0,6.0
1291.271378190772,4.0,42.0,16.0,3.0
73169.14906662595,1.0,10.0,8.0,10.0
80341.38076360033,4.0,54.0,13.0,1.0
7738.0438044273715,2.0,87.0,12.0,7.0
43841.379920575324,3.0,57.0,13.0,6.0
77094.8209701981,2.0,51.0,3.0,10.0
23493.649069855637,4.0,64.0,8.0,5.0
74664.97295451663,3.0,53.0,18.0,6.0
65948.94162588383,3.0,72.0,2.0,9.0
4905.548977576348,2.0,66.0,16.0,4.0
5683.374223372835,4.0,52.0,4.0,2.0
37059.777641891604,4.0,50.0,18.0,5.0
28863.052172724674,2.0,53.0,6.0,3.0
49604.94011386584,2.0,45.0,12.0,1.0
39324.26368731944,4.0,59.0,18.0,2.0
91123.76637036074,2.0,96.0,18.0,7.0
87768.78327564664,4.0,10.0,17.0,2.0
42526.79726647671,3.0,69.0,16.0,8.0
61613.38769847236,2.0,56.0,9.0,6.0
96082.10668218296,1.0,19.0,12.0,9.0
10115.839349447677,4.0,11.0,2.0,1.0
48499.93893520005,3.0,14.0,16.0,1.0
67225.10480928862,3.0,20.0,11.0,10.0
13162.061337896663,2.0,97.0,10.0,2.0
2273.602979999008,2.0,56.0,18.0,5.0
19378.481673255323,3.0,15.0,14.0,3.0
82868.32275124866,2.0,59.0,13.0,8.0
35653.06356125142,3.0,8.0,3.0,3.0
28528.073206875593,3.0,97.0,8.0,4.0
53922.5963561535,4.0,81.0,8.0,4.0
19295.403353801656,1.0,12.0,17.0,7.0
14573.71232406605,4.0,48.0,12.0,7.0
41440.13341217711,2.0,71.0,14.0,7.0
12586.262932744225,4.0,81.0,6.0,2.0
78930.1502610703,3.0,72.0,19.0,1.0
36831.43281993391,4.0,56.0,18.0,8.0
77661.74806475786,5.0,22.0,6.0,9.0
41650.03006858739,2.0,12.0,16.0,3.0
69363.45550176957,2.0,94.0,10.0,6.0
97502.1910194702,5.0,53.0,19.0,1.0
30693.83150644707,5.0,29.0,13.0,2.0
90765.0271408147,1.0,43.0,9.0,10.0
53064.16610806177,5.0,66.0,14.0,5.0
74884.00800018071,2.0,16.0,11.0,2.0
61295.3943453419,4.0,32.0,2.0,6.0
94823.67824308884,3.0,48.0,9.0,9.0
91008.78214750752,5.0,52.0,10.0,10.0
49428.932310590695,3.0,57.0,16.0,7.0
24785.73355403974,4.0,43.0,17.0,2.0
87199.29285847842,2.0,57.0,6.0,10.0
78541.46302089887,3.0,49.0,13.0,3.0
56530.20317644072,2.0,64.0,4.0,7.0
95042.78502149846,4.0,29.0,2.0,9.0
99849.43425210948,1.0,45.0,11.0,2.0
86598.92847382829,2.0,23.0,10.0,5.0
5559.861697843737,5.0,93.0,6.0,7.0
87641.68728707214,3.0,70.0,3.0,4.0
27958.34071760409,3.0,50.0,9.0,2.0
73132.47939814771,2.0,55.0,13.0,2.0
15802.56191332358,5.0,29.0,17.0,5.0
56604.19178057065,2.0,67.0,7.0,10.0
11342.93661479203,2.0,85.0,6.0,2.0
18678.95364025307,4.0,7.0,17.0,3.0
95460.71542196274,4.0,29.0,6.0,2.0
58642.73771430237,3.0,40.0,16.0,7.0
42669.22443363946,2.0,100.0,5.0,2.0
83096.1819630059,2.0,43.0,14.0,3.0
43187.326319871994,3.0,49.0,7.0,8.0
92375.13713128526,3.0,41.0,17.0,2.0
66476.65794657198,4.0,22.0,6.0,8.0
27561.34779253457,4.0,83.0,18.0,4.0
89640.46488864612,4.0,94.0,3.0,1.0
98740.512227682,4.0,59.0,7.0,4.0
49683.0279344971,1.0,74.0,17.0,3.0
95997.41476909754,4.0,91.0,9.0,9.0
37166.194816450254,3.0,68.0,15.0,5.0
33519.67910825025,4.0,98.0,18.0,1.0
99996.89025414232,1.0,63.0,2.0,8.0
77989.43775558706,3.0,98.0,2.0,5.0
309.1359412168863,2.0,53.0,17.0,9.0
93489.38199633313,4.0,50.0,10.0,4.0
25663.44715979294,2.0,92.0,5.0,7.0
56810.36766316797,5.0,91.0,7.0,4.0
35577.74720974173,2.0,94.0,5.0,4.0
18454.2538456556,5.0,26.0,7.0,2.0
47165.57580223085,5.0,42.0,11.0,2.0
26327.549523053298,2.0,10.0,11.0,9.0
25066.675943082708,3.0,62.0,4.0,1.0
96585.98821166434,5.0,78.0,11.0,1.0
21206.407491048165,2.0,89.0,4.0,1.0
26274.63309659916,4.0,93.0,10.0,7.0
12967.074453872723,2.0,66.0,14.0,6.0
23018.411080932205,3.0,98.0,13.0,4.0
74064.65998840037,2.0,49.0,3.0,5.0
29888.66863235972,5.0,68.0,12.0,7.0
4982.513844624543,5.0,98.0,14.0,4.0
96219.0080022553,2.0,74.0,6.0,5.0
9953.02367895227,3.0,23.0,18.0,7.0
19164.35919733956,4.0,53.0,9.0,5.0
63120.47806306476,2.0,55.0,4.0,3.0
6806.765449140393,1.0,35.0,17.0,6.0
81198.15642660744,2.0,43.0,8.0,4.0
96056.96201959613,3.0,40.0,3.0,7.0
44808.39176617737,1.0,55.0,3.0,5.0
69832.98660572479,3.0,68.0,15.0,7.0
88493.4999864421,2.0,29.0,18.0,6.0
24316.440938925396,4.0,30.0,17.0,3.0
22621.42967856336,4.0,26.0,13.0,5.0
23275.633850297294,4.0,99.0,12.0,5.0
78608.01715423074,5.0,10.0,5.0,5.0
75399.3247770971,4.0,42.0,13.0,4.0
49261.50034223089,2.0,100.0,6.0,2.0
29058.662745991576,2.0,67.0,8.0,5.0
38780.76757009385,3.0,6.0,20.0,8.0
79526.83871723402,5.0,67.0,6.0,4.0
4894.968519438291,4.0,65.0,6.0,3.0
8357.286898705188,3.0,25.0,17.0,8.0
13798.222710846696,1.0,16.0,8.0,4.0
53848.38101470487,4.0,69.0,6.0,9.0
1381.821234083057,3.0,12.0,19.0,4.0
65733.37673230788,4.0,82.0,18.0,3.0
41653.11848556328,4.0,5.0,6.0,8.0
92017.25938134716,4.0,12.0,7.0,5.0
72502.8656352331,1.0,32.0,20.0,10.0
56646.11323862384,2.0,28.0,17.0,8.0
51053.025494889494,2.0,53.0,8.0,6.0
91284.91477916596,4.0,85.0,9.0,5.0
54534.72286679217,2.0,52.0,18.0,5.0
13312.719144340748,3.0,68.0,16.0,6.0
85694.72050694021,5.0,79.0,5.0,9.0
3068.4528269547072,4.0,71.0,15.0,10.0
88070.64691253443,1.0,89.0,8.0,6.0
72853.7808337741,4.0,12.0,16.0,6.0
47310.57063838888,2.0,48.0,4.0,8.0
18943.25539258221,5.0,62.0,18.0,4.0
31421.6777083789,4.0,11.0,17.0,4.0
25565.159914576314,3.0,66.0,7.0,4.0
93759.96789869017,1.0,14.0,18.0,7.0
66242.28996572633,4.0,11.0,3.0,10.0
76684.44924822992,3.0,29.0,16.0,9.0
88500.70574314742,3.0,81.0,11.0,4.0
24140.089263322323,2.0,98.0,9.0,4.0
21580.113055101938,4.0,35.0,12.0,1.0
95937.30255924021,3.0,8.0,7.0,9.0
43611.9284108949,1.0,80.0,5.0,7.0
12722.354147354354,4.0,42.0,14.0,5.0
13136.66405835603,4.0,54.0,8.0,7.0
43167.843035364866,3.0,36.0,2.0,9.0
90954.76974509898,3.0,25.0,16.0,3.0
60895.38680297706,3.0,45.0,8.0,9.0
14951.89118847791,3.0,23.0,15.0,8.0
12825.59287347145,1.0,29.0,5.0,1.0
35999.867276957746,5.0,73.0,8.0,4.0
49098.127970410074,1.0,85.0,15.0,6.0
75182.92588126686,4.0,87.0,10.0,10.0
12497.702509046476,1.0,18.0,15.0,9.0
41132.64427948777,4.0,14.0,9.0,9.0
48989.131168622545,3.0,7.0,6.0,7.0
86072.22084524317,1.0,48.0,4.0,7.0
61773.0060938123,2.0,82.0,8.0,2.0
78505.13360229226,2.0,89.0,6.0,7.0
44912.109691217585,2.0,82.0,12.0,6.0
49941.39606350421,5.0,45.0,7.0,2.0
5490.686793137656,2.0,58.0,7.0,5.0
26661.13703418445,3.0,58.0,11.0,6.0
1145.1607968241626,2.0,51.0,8.0,3.0
33246.88283952388,4.0,9.0,12.0,4.0
83804.45021911467,4.0,66.0,11.0,7.0
71652.63569495128,4.0,22.0,2.0,2.0
87976.87069693822,3.0,79.0,9.0,1.0
88905.03794251512,5.0,11.0,8.0,6.0
96838.88788911601,4.0,39.0,14.0,5.0
68634.94493326546,2.0,76.0,12.0,9.0
54770.11854670241,3.0,65.0,8.0,6.0
80591.57372175508,3.0,35.0,18.0,5.0
54213.272632773194,2.0,44.0,16.0,2.0
43307.34658237532,2.0,24.0,14.0,9.0
88166.43000480476,2.0,12.0,13.0,2.0
77095.56534924998,4.0,43.0,15.0,10.0
36558.474469371395,5.0,65.0,6.0,4.0
21471.971201422944,4.0,45.0,13.0,3.0
72167.61056882601,3.0,93.0,14.0,8.0
82325.3586907627,4.0,10.0,18.0,2.0
48540.69449056944,4.0,31.0,9.0,2.0
9011.487781480657,3.0,97.0,18.0,9.0
6603.1725143649255,1.0,96.0,12.0,2.0
83343.4831471244,3.0,64.0,16.0,2.0
47012.769633333475,5.0,44.0,19.0,9.0
