mean_d-greater-s,mean_count turtles with [moved? = TRUE],mean_sprout-count,min_d-greater-s,min_count turtles with [moved? = TRUE],min_sprout-count,last_d-greater-s,last_count turtles with [moved? = TRUE],last_sprout-count,sd_d-greater-s,sd_count turtles with [moved? = TRUE],sd_sprout-count,trend_d-greater-s,trend_count turtles with [moved? = TRUE],trend_sprout-count,max_d-greater-s,max_count turtles with [moved? = TRUE],max_sprout-count,snap_100_d-greater-s,snap_100_count turtles with [moved? = TRUE],snap_100_sprout-count,snap_200_d-greater-s,snap_200_count turtles with [moved? = TRUE],snap_200_sprout-count,snap_300_d-greater-s,snap_300_count turtles with [moved? = TRUE],snap_300_sprout-count,snap_400_d-greater-s,snap_400_count turtles with [moved? = TRUE],snap_400_sprout-count,snap_500_d-greater-s,snap_500_count turtles with [moved? = TRUE],snap_500_sprout-count,snap_600_d-greater-s,snap_600_count turtles with [moved? = TRUE],snap_600_sprout-count,snap_700_d-greater-s,snap_700_count turtles with [moved? = TRUE],snap_700_sprout-count,snap_800_d-greater-s,snap_800_count turtles with [moved? = TRUE],snap_800_sprout-count,snap_900_d-greater-s,snap_900_count turtles with [moved? = TRUE],snap_900_sprout-count
500.051,738.949,333.111,0.0,0.0,0.0,484.0,845.0,459.0,22.85739265533137,163.6378513639186,179.9203564886416,-0.04977456777456766,0.4544097164097162,0.5242953982953982,563.0,875.0,459.0,523.0,407.0,0.0,515.0,534.0,75.0,517.0,778.0,349.0,502.0,820.0,413.0,494.0,838.0,443.0,490.0,839.0,451.0,485.0,844.0,458.0,485.0,844.0,458.0,484.0,845.0,459.0
993.008,646.746,1718.537,0.0,0.0,0.0,1000.0,871.0,2902.0,40.50560376046715,189.08285349020937,909.5055187468636,0.027356751356751967,0.5917655317655314,3.0682262782262786,1000.0,871.0,2902.0,999.0,186.0,0.0,999.0,443.0,801.0,994.0,607.0,1322.0,994.0,659.0,1655.0,999.0,697.0,1921.0,999.0,735.0,2169.0,999.0,769.0,2398.0,997.0,812.0,2603.0,998.0,837.0,2767.0
7.477,337.691,45.055,0.0,0.0,0.0,0.0,389.0,156.0,38.901535586657936,97.708083181485,54.381559144621804,-0.03173476973476974,-0.0664356964356966,0.1722143142143142,561.0,875.0,156.0,0.0,401.0,0.0,1.0,290.0,0.0,1.0,273.0,0.0,0.0,264.0,1.0,5.0,258.0,12.0,5.0,291.0,43.0,4.0,328.0,77.0,4.0,352.0,111.0,2.0,378.0,135.0
445.71,10.735,2208.903,0.0,0.0,0.0,529.0,1.0,5359.0,59.123733813080506,61.070441090596134,1700.4898134334705,0.18614716214716204,-0.057711075711075734,5.853394743394743,567.0,851.0,5359.0,366.0,4.0,0.0,367.0,6.0,355.0,434.0,2.0,898.0,411.0,1.0,1452.0,460.0,0.0,2042.0,493.0,0.0,2706.0,491.0,1.0,3371.0,492.0,0.0,4017.0,511.0,0.0,4681.0
14.398,997.634,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,78.45654590918704,34.20660819198387,0.0,-0.08334794334794338,0.014094170094169887,0.0,649.0,1000.0,0.0,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0
10.184,393.802,277.022,0.0,0.0,0.0,0.0,520.0,450.0,32.70461961252566,139.16594696979607,177.6312852962568,-0.03448075048075042,0.3606320526320524,0.5813094533094533,573.0,840.0,450.0,8.0,170.0,0.0,10.0,158.0,28.0,17.0,252.0,161.0,10.0,348.0,273.0,9.0,434.0,361.0,3.0,480.0,408.0,0.0,508.0,434.0,1.0,518.0,447.0,0.0,519.0,449.0
454.523,259.776,1590.014,0.0,0.0,0.0,497.0,71.0,3973.0,55.28726318963536,114.9127400421729,1196.6622922963688,0.10887059487059486,-0.37068069468069453,4.109948057948058,579.0,843.0,3973.0,465.0,361.0,0.0,338.0,360.0,353.0,404.0,368.0,740.0,440.0,347.0,1045.0,493.0,281.0,1414.0,503.0,235.0,1837.0,493.0,166.0,2330.0,492.0,117.0,2841.0,480.0,103.0,3405.0
992.071,629.521,1756.835,0.0,0.0,0.0,998.0,836.0,3026.0,42.83248719138321,180.25411939536917,947.2015951079262,0.03182558582558624,0.5596072816072813,3.2108220368220373,1000.0,840.0,3026.0,1000.0,183.0,0.0,1000.0,455.0,807.0,998.0,598.0,1320.0,995.0,661.0,1673.0,996.0,668.0,1933.0,996.0,706.0,2213.0,997.0,738.0,2467.0,996.0,795.0,2695.0,999.0,815.0,2868.0
12.353,996.542,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,62.98244510179082,37.389761111832954,0.0,-0.07132679332679327,0.020506208506207876,0.0,576.0,1000.0,0.0,2.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0
448.32,20.586,2721.525,0.0,0.0,0.0,463.0,11.0,5951.0,91.0202922429938,63.53174485247516,1834.2999998296339,-0.04794181194181182,-0.05134241134241129,6.345354723354724,691.0,866.0,5951.0,691.0,0.0,0.0,373.0,11.0,806.0,350.0,11.0,1451.0,377.0,14.0,2066.0,415.0,17.0,2665.0,454.0,10.0,3327.0,437.0,12.0,3995.0,446.0,17.0,4636.0,486.0,12.0,5312.0
