random-seed,radius,av-att,weight-soc-ben
56446.97437839645,4.0,-0.0,3.0
38787.05684153967,8.0,-0.0,5.0
77170.84720452166,3.0,1.0,9.0
51057.122460025894,7.0,0.0,9.0
39114.54543329463,7.0,-0.0,4.0
31447.994613625524,4.0,0.0,4.0
66980.39588572868,3.0,0.0,10.0
61844.038299606866,10.0,1.0,3.0
39474.78465689534,8.0,-0.0,3.0
95222.7569813489,0.0,-1.0,2.0
32043.71611131702,9.0,-1.0,3.0
22368.80009381011,1.0,1.0,1.0
92713.14477687074,7.0,-0.0,7.0
51356.25634847519,9.0,0.0,9.0
9162.032513645185,3.0,-0.0,4.0
12333.84652951135,8.0,0.0,7.0
33302.8300694458,2.0,-1.0,1.0
90442.00292504944,7.0,-1.0,10.0
35002.268256648196,5.0,1.0,5.0
94265.358547497,5.0,-1.0,5.0
65392.54142999355,5.0,-0.0,3.0
13904.921046812466,1.0,-1.0,7.0
99890.99897320372,6.0,1.0,7.0
44437.447223948344,2.0,-0.0,10.0
35420.357468855516,2.0,1.0,6.0
4190.633336622234,1.0,-0.0,4.0
4742.430123826926,8.0,0.0,6.0
52675.99308247366,3.0,1.0,5.0
90805.3156403703,8.0,1.0,1.0
92046.66924356353,6.0,0.0,4.0
80548.55599380385,7.0,0.0,9.0
16574.786531199297,4.0,0.0,1.0
64563.46986437923,1.0,1.0,2.0
97048.22527004602,8.0,0.0,5.0
87106.40839640488,7.0,-0.0,3.0
5960.3108257492195,5.0,0.0,9.0
76543.76973864267,3.0,1.0,2.0
74549.12113305475,2.0,1.0,5.0
56610.51267262167,9.0,-1.0,4.0
68095.47654890725,7.0,-0.0,1.0
14866.229938625936,9.0,0.0,8.0
57206.43921220222,7.0,0.0,5.0
18122.432775015062,3.0,1.0,2.0
36775.71989333135,1.0,-0.0,1.0
49260.622640786,7.0,-1.0,2.0
75715.408069205,1.0,1.0,8.0
99500.17411703909,5.0,-1.0,9.0
6132.474781611831,6.0,-1.0,4.0
27379.608917886246,5.0,1.0,2.0
96584.32691939296,1.0,-0.0,6.0
26815.772618748913,9.0,0.0,6.0
70593.28095926877,1.0,-0.0,6.0
34985.681988449054,1.0,0.0,9.0
36500.76270738903,1.0,-0.0,3.0
59661.839610861956,6.0,0.0,4.0
75925.20595290209,2.0,0.0,9.0
26786.889968648982,2.0,1.0,3.0
86100.29911208614,7.0,-1.0,9.0
