random-seed,%_workers,%_shirkers,window
47017.248132236455,28.0,4.0,5.0
26529.561835870478,42.0,28.0,8.0
38229.63985208432,24.0,12.0,7.0
78465.05823211305,44.0,7.0,2.0
26209.11332010113,24.0,18.0,8.0
64473.603836190305,41.0,12.0,4.0
25054.59182827865,21.0,24.0,3.0
98765.0021354511,3.0,36.0,2.0
90780.67183799545,20.0,33.0,3.0
82474.218654367,46.0,46.0,8.0
48387.11373321871,43.0,47.0,5.0
8084.1258769594015,40.0,33.0,4.0
86369.50672470231,27.0,22.0,3.0
84551.07655141319,12.0,9.0,5.0
59442.29166625507,36.0,16.0,7.0
40984.78847628977,33.0,24.0,9.0
18162.871610835602,37.0,31.0,6.0
86853.19846964933,19.0,18.0,7.0
88702.34059845055,9.0,7.0,8.0
44977.24440839586,14.0,20.0,5.0
31988.97164368269,28.0,43.0,3.0
4604.177242242466,29.0,24.0,6.0
1421.4182929037352,8.0,14.0,9.0
89451.51315939226,47.0,26.0,10.0
26253.016980583605,31.0,9.0,8.0
16812.884121884348,34.0,3.0,5.0
2147.679456486524,46.0,37.0,4.0
33617.638361976926,19.0,28.0,4.0
8771.629770546491,5.0,21.0,2.0
40331.56134606867,41.0,46.0,9.0
30820.416342074343,34.0,26.0,6.0
20166.455603579758,32.0,12.0,7.0
66094.54178461355,43.0,39.0,5.0
38517.2179302906,31.0,4.0,8.0
22360.631291812882,31.0,25.0,3.0
63999.54740687443,26.0,17.0,7.0
58356.61487081022,10.0,14.0,7.0
45930.86752854196,38.0,28.0,6.0
95473.49293443919,4.0,40.0,6.0
95267.71843431387,33.0,14.0,7.0
19130.101581667004,30.0,17.0,4.0
92795.7789214089,30.0,23.0,5.0
99309.80839558812,32.0,9.0,7.0
9048.013444966557,35.0,15.0,8.0
23636.009214364814,19.0,18.0,8.0
65007.94477496576,12.0,11.0,6.0
94377.25184256863,40.0,16.0,10.0
55567.63942842872,45.0,17.0,9.0
92296.66541261927,35.0,48.0,4.0
11088.071165637402,15.0,4.0,5.0
10055.340799956835,36.0,20.0,9.0
7284.518287781153,29.0,26.0,6.0
61853.80638548165,3.0,38.0,6.0
33913.73285382112,7.0,28.0,4.0
68562.45176351856,34.0,11.0,5.0
12519.705963159795,6.0,14.0,7.0
27332.990707102606,21.0,9.0,8.0
19004.31140781049,43.0,34.0,9.0
14933.881045312928,19.0,28.0,3.0
29286.863639972515,13.0,24.0,6.0
58490.072540655274,5.0,48.0,6.0
17971.172453110063,3.0,17.0,9.0
21143.540781327392,40.0,7.0,7.0
86406.52288124534,34.0,26.0,6.0
45666.54753740996,43.0,45.0,3.0
55190.91704844894,44.0,47.0,10.0
34744.73595670575,39.0,21.0,6.0
14936.749931445744,27.0,4.0,6.0
34975.93240619386,27.0,36.0,7.0
55339.64321313116,7.0,15.0,8.0
765.4973858698614,39.0,30.0,9.0
71703.15798709748,40.0,45.0,3.0
92350.63270185143,36.0,9.0,4.0
