random-seed,density,%-similar-wanted,radiusNeighborhood
19434.68877288125,72.0,30.0,4.0
68105.87828755451,94.0,35.0,5.0
58719.90543127285,55.0,27.0,3.0
43160.47296296463,85.0,61.0,3.0
79814.46210121195,52.0,43.0,3.0
19651.01210853898,65.0,38.0,4.0
30327.2467064133,95.0,73.0,5.0
91316.4079112359,86.0,39.0,2.0
25140.285339718037,85.0,28.0,4.0
49719.86908949412,81.0,33.0,4.0
18509.067265362788,71.0,33.0,1.0
51588.342957842346,91.0,56.0,3.0
59422.056362223404,83.0,73.0,1.0
53800.68980429772,98.0,48.0,2.0
94100.65146523643,71.0,64.0,4.0
33611.83170924829,88.0,28.0,2.0
63522.46892250011,57.0,66.0,4.0
24414.34771246711,80.0,59.0,2.0
55530.11207758755,55.0,63.0,1.0
85437.87991515906,85.0,69.0,1.0
27058.75847310435,52.0,30.0,5.0
13176.215881816903,62.0,69.0,3.0
69745.17910164803,97.0,53.0,4.0
58790.66276468633,65.0,65.0,3.0
68685.96134882954,65.0,69.0,4.0
60040.51097936903,82.0,57.0,3.0
30775.562146468972,93.0,73.0,2.0
9351.478488808367,69.0,53.0,2.0
22807.13899401807,50.0,71.0,3.0
99857.37067421242,94.0,60.0,2.0
64285.36937906214,95.0,59.0,4.0
63993.417584083014,66.0,43.0,2.0
91815.45083070853,94.0,58.0,2.0
18048.595085151115,89.0,52.0,2.0
67563.20159450793,56.0,29.0,4.0
27063.769595741735,94.0,35.0,3.0
90318.68068890444,56.0,55.0,3.0
76078.21906676753,69.0,70.0,4.0
24133.141801961177,78.0,36.0,4.0
60736.703744803795,74.0,41.0,3.0
34799.285836335635,54.0,55.0,3.0
86573.87816636507,83.0,42.0,3.0
96180.39377175875,61.0,61.0,4.0
81980.01278019196,64.0,41.0,2.0
79347.267613019,68.0,62.0,2.0
97675.82009479267,70.0,29.0,3.0
57593.8918731801,92.0,34.0,4.0
8033.78448437669,72.0,58.0,5.0
2426.7414614498625,68.0,61.0,2.0
53052.7591601832,87.0,52.0,1.0
56634.7368481795,68.0,36.0,2.0
27972.25160826248,58.0,52.0,1.0
32020.031792968988,86.0,43.0,5.0
23259.68612684309,52.0,38.0,1.0
25345.130128909117,63.0,31.0,2.0
3936.006719340642,63.0,55.0,2.0
17285.21167380591,57.0,50.0,5.0
22480.709676647788,65.0,46.0,2.0
71635.75411474705,80.0,29.0,4.0
52530.04282210523,66.0,52.0,2.0
96482.62689856585,84.0,47.0,2.0
38768.83711609213,63.0,65.0,2.0
86241.02674077693,68.0,34.0,3.0
36567.75168013249,95.0,56.0,5.0
59095.56382030098,90.0,45.0,2.0
64452.56947155942,53.0,30.0,5.0
89638.23416657736,78.0,71.0,2.0
61701.37503516624,88.0,66.0,3.0
37737.4444727376,76.0,36.0,3.0
36165.287378568784,68.0,46.0,1.0
89865.56096196764,63.0,68.0,4.0
36295.81449970322,64.0,58.0,3.0
20644.602409234434,91.0,72.0,4.0
26192.654767820655,72.0,57.0,3.0
13447.31058778882,57.0,30.0,1.0
61291.8625549325,54.0,62.0,3.0
45916.97081716861,88.0,32.0,2.0
17905.6198326361,54.0,47.0,4.0
76942.96917224104,91.0,59.0,5.0
18847.980939790952,92.0,67.0,2.0
55493.18264690211,62.0,60.0,4.0
38186.64686448832,76.0,55.0,4.0
51280.07741943133,89.0,70.0,5.0
61103.48854361947,55.0,45.0,2.0
38769.60873263312,81.0,40.0,1.0
1268.6273526280372,62.0,74.0,2.0
62840.871920605474,68.0,38.0,5.0
77202.63434920124,62.0,72.0,2.0
11345.870496244337,86.0,29.0,1.0
75827.2189560405,91.0,62.0,3.0
58197.27931403782,82.0,57.0,1.0
2279.6602364111245,78.0,35.0,2.0
44472.75342579514,96.0,67.0,3.0
76536.99039025953,58.0,41.0,4.0
55399.60258528938,82.0,63.0,2.0
1602.8565243077812,51.0,37.0,4.0
69654.35524965198,60.0,74.0,2.0
77426.26024745598,77.0,44.0,2.0
29560.541997541888,76.0,46.0,5.0
36341.16136000694,61.0,72.0,1.0
17955.555406944473,86.0,49.0,4.0
22512.324862443344,68.0,74.0,5.0
69952.75505680179,59.0,73.0,3.0
69287.86052604506,96.0,29.0,2.0
84678.73751093954,59.0,39.0,3.0
84261.29443255148,55.0,73.0,3.0
26136.121502034617,64.0,73.0,4.0
91980.75794429802,81.0,47.0,3.0
6388.520681712836,61.0,39.0,1.0
67466.17386102016,89.0,38.0,1.0
47918.31631516388,65.0,61.0,3.0
84133.36454142128,80.0,58.0,3.0
58676.44497939609,70.0,74.0,3.0
73717.38394660385,69.0,25.0,4.0
17095.728059671514,71.0,31.0,1.0
69623.25473124087,62.0,54.0,4.0
18925.25476206949,59.0,53.0,2.0
38171.279927463176,52.0,48.0,2.0
47480.823435076265,51.0,44.0,1.0
46984.380529479124,85.0,49.0,5.0
30481.844528891368,83.0,61.0,4.0
35407.70670254843,89.0,45.0,3.0
29208.191576552617,82.0,59.0,4.0
76386.71096827138,85.0,60.0,3.0
82392.61512978794,85.0,64.0,2.0
25541.692052000646,51.0,40.0,2.0
81974.30731549766,74.0,65.0,1.0
89699.25212912959,64.0,63.0,2.0
25842.447281435805,93.0,54.0,5.0
74960.19324814233,85.0,71.0,4.0
53012.90738898467,52.0,71.0,4.0
60060.55884487592,99.0,34.0,2.0
95169.27775796228,58.0,62.0,2.0
49171.3852922862,97.0,67.0,1.0
92775.91927368195,89.0,72.0,3.0
14589.040765928587,72.0,57.0,3.0
37166.514598345995,85.0,33.0,2.0
54345.02744148396,97.0,38.0,4.0
30872.573057621285,81.0,31.0,2.0
29457.44182000687,60.0,55.0,5.0
48414.68627971516,93.0,66.0,1.0
63461.481666097774,94.0,36.0,5.0
964.9873215573986,67.0,29.0,3.0
37156.48259326883,69.0,71.0,2.0
707.1160903916341,76.0,68.0,3.0
33281.0479935108,98.0,68.0,2.0
10882.018321777321,79.0,39.0,3.0
37212.81439759424,92.0,64.0,1.0
58930.115135839216,85.0,40.0,4.0
99821.01195506842,88.0,57.0,2.0
45642.792006358824,82.0,68.0,4.0
25791.770868201605,91.0,57.0,4.0
9696.108587024508,77.0,40.0,2.0
45477.36195200118,90.0,57.0,1.0
98312.1371061461,60.0,68.0,3.0
359.7813293005855,81.0,56.0,2.0
32938.42505227452,71.0,35.0,3.0
56195.67807906625,51.0,52.0,1.0
51138.87994124391,90.0,46.0,1.0
46886.22205165574,68.0,51.0,4.0
84676.06365661166,83.0,53.0,2.0
12595.94366097239,64.0,53.0,1.0
16807.635992080704,85.0,62.0,4.0
18976.486491076324,75.0,34.0,1.0
18399.55706842654,82.0,33.0,4.0
9811.121741713876,77.0,41.0,2.0
50070.00752492045,56.0,57.0,4.0
29227.592630848318,76.0,61.0,2.0
84202.12963808408,83.0,75.0,4.0
77773.62656774974,96.0,33.0,4.0
8390.33698124246,59.0,55.0,5.0
56295.15655519318,85.0,67.0,2.0
9073.617908562795,84.0,64.0,3.0
64738.196633879925,99.0,38.0,2.0
68384.45793740022,75.0,60.0,3.0
26275.043278519726,63.0,62.0,3.0
31504.000887204667,96.0,55.0,2.0
37942.60189879384,58.0,66.0,2.0
6883.912971829631,93.0,34.0,3.0
56484.10110504836,92.0,37.0,3.0
9583.5984220301,54.0,27.0,3.0
46402.29124924192,85.0,58.0,2.0
45590.61977984542,67.0,54.0,2.0
33399.68510786552,90.0,66.0,4.0
27291.81655202059,87.0,56.0,5.0
31459.128696907606,76.0,62.0,4.0
80370.67020367435,83.0,66.0,3.0
23742.540664303142,74.0,70.0,2.0
48774.943749361904,73.0,53.0,1.0
83964.58910334353,76.0,61.0,3.0
82366.94927481211,97.0,47.0,3.0
59483.431328718914,53.0,72.0,5.0
36026.754051621916,91.0,37.0,3.0
92116.76524086758,60.0,53.0,2.0
29956.802286890364,64.0,36.0,1.0
98451.63961670677,77.0,72.0,2.0
18590.045998110498,95.0,28.0,4.0
40922.18084797413,52.0,74.0,4.0
62144.26298935441,55.0,62.0,1.0
45507.230423459565,92.0,52.0,5.0
47582.461606850135,56.0,34.0,2.0
83651.7277164462,96.0,57.0,5.0
52231.5936958298,95.0,28.0,4.0
25893.664112504677,57.0,29.0,3.0
4878.0286698836,65.0,49.0,4.0
93883.23792066489,54.0,64.0,4.0
97968.93622670292,57.0,55.0,2.0
33327.68456843322,95.0,59.0,3.0
18582.528402536995,57.0,63.0,2.0
11782.504332457564,55.0,40.0,2.0
92347.6792625326,58.0,42.0,1.0
25903.893993604754,56.0,41.0,3.0
78509.04961572768,88.0,75.0,4.0
10510.707350232786,95.0,60.0,2.0
18735.219715810355,85.0,62.0,1.0
19206.996595107623,56.0,51.0,3.0
89015.21019494093,58.0,33.0,2.0
51682.50192152585,73.0,34.0,2.0
71338.89912248171,50.0,64.0,2.0
59005.56731594647,51.0,42.0,3.0
75761.95207917213,88.0,75.0,3.0
