mean_count turtles with [standing?],mean_count turtles with [feeling-awkward? = true],min_count turtles with [standing?],min_count turtles with [feeling-awkward? = true],last_count turtles with [standing?],last_count turtles with [feeling-awkward? = true],sd_count turtles with [standing?],sd_count turtles with [feeling-awkward? = true],trend_count turtles with [standing?],trend_count turtles with [feeling-awkward? = true],max_count turtles with [standing?],max_count turtles with [feeling-awkward? = true],snap_10_count turtles with [standing?],snap_10_count turtles with [feeling-awkward? = true],snap_20_count turtles with [standing?],snap_20_count turtles with [feeling-awkward? = true],snap_30_count turtles with [standing?],snap_30_count turtles with [feeling-awkward? = true],snap_40_count turtles with [standing?],snap_40_count turtles with [feeling-awkward? = true]
219.16,61.42,118.0,34.0,160.0,56.0,64.4969332604272,15.437732994193158,-0.6351020408163276,-0.0666986794717896,359.0,138.0,118.0,56.0,175.0,47.0,272.0,51.0,173.0,61.0
245.7,37.78,36.0,20.0,111.0,38.0,104.14129824426044,16.50368443711888,-1.7321008403361338,-0.2668427370948387,377.0,120.0,133.0,47.0,363.0,34.0,310.0,38.0,274.0,23.0
212.26,56.3,103.0,34.0,127.0,54.0,74.2576083643959,18.923266102869245,0.4646818727490986,-0.7487635054021621,350.0,164.0,270.0,66.0,155.0,59.0,316.0,43.0,226.0,52.0
125.4,36.58,20.0,18.0,108.0,54.0,103.79441218100327,13.778374359843761,-2.35889555822329,-0.32600240096038474,339.0,77.0,137.0,77.0,222.0,32.0,122.0,56.0,34.0,27.0
204.16,20.48,19.0,11.0,267.0,12.0,106.63683416155973,17.78678160882401,6.463193277310925,-0.28024009603841654,376.0,138.0,81.0,18.0,212.0,21.0,228.0,27.0,314.0,18.0
220.18,48.3,51.0,18.0,346.0,38.0,101.73488880418554,11.950313803411188,0.30919567827130734,-0.12192076830732367,378.0,68.0,205.0,47.0,123.0,53.0,94.0,51.0,257.0,50.0
91.42,22.32,14.0,6.0,158.0,41.0,56.82150649182051,15.418741842316447,-1.2157983193277322,-0.2876350540216095,217.0,86.0,66.0,15.0,142.0,13.0,66.0,35.0,32.0,13.0
238.54,60.46,174.0,39.0,182.0,57.0,36.7277606178215,14.59754773926087,-2.0982953181272546,0.08321728691476485,331.0,143.0,269.0,44.0,206.0,54.0,244.0,67.0,212.0,64.0
228.46,10.54,0.0,0.0,0.0,0.0,121.68733870045808,19.28751928061253,-7.125234093637461,-0.3609603841536625,396.0,140.0,272.0,8.0,265.0,3.0,308.0,6.0,66.0,21.0
236.42,32.24,28.0,10.0,380.0,18.0,140.96256098695142,23.95041544524854,7.875678271308526,-0.8622328931572647,389.0,168.0,31.0,21.0,79.0,38.0,380.0,19.0,368.0,28.0
128.72,24.7,4.0,4.0,8.0,6.0,86.894427899607,27.286810000437942,-0.3149099639855963,-0.7481872749099653,302.0,173.0,27.0,5.0,189.0,29.0,159.0,30.0,155.0,16.0
271.68,62.82,210.0,41.0,274.0,62.0,28.334741925770214,18.59859134450779,0.0715486194477794,-0.4433613445378163,323.0,169.0,302.0,45.0,312.0,50.0,321.0,51.0,250.0,64.0
