random-seed,initial-population,pmut,maximum-sugar-endowment,maximum-spice-endowment,wealth-reproduction
88797.64976197772,289.0,0.12587988921342338,56.0,56.0,22.0
34250.9873816732,203.0,0.07921769776696493,27.0,27.0,99.0
57504.61843317509,391.0,0.16418713624511194,70.0,41.0,70.0
73059.85874583518,371.0,0.04085033943890897,24.0,74.0,40.0
92358.04539889509,398.0,0.1547952924012392,24.0,51.0,89.0
8892.286470264822,120.0,0.18332664943711782,18.0,29.0,83.0
2224.765187990395,264.0,0.06380812954414282,25.0,39.0,49.0
59976.148497113485,328.0,0.17879274169677933,66.0,56.0,66.0
4462.843331562995,239.0,0.1173981000029914,30.0,72.0,73.0
15937.025495602333,443.0,0.075139329087472,63.0,25.0,49.0
87412.59777316533,238.0,0.080897722270731,67.0,75.0,45.0
60427.966176229966,354.0,0.17692866400981289,55.0,23.0,28.0
34347.789714436905,351.0,0.17282178537882134,51.0,12.0,51.0
62071.21051235324,321.0,0.0698137145397967,57.0,30.0,90.0
36132.739124155516,224.0,0.14519172226558627,17.0,48.0,26.0
38924.92437238948,452.0,0.017494388588774813,76.0,54.0,53.0
57166.601791828936,105.0,0.15460103922799623,29.0,77.0,85.0
61703.010398180995,332.0,0.19254340418525934,33.0,27.0,53.0
29728.99386648764,434.0,0.14084374110610523,24.0,22.0,98.0
7611.786809345768,499.0,0.08043894236996126,21.0,19.0,45.0
43627.79017240459,154.0,0.19977376650768988,65.0,9.0,41.0
58951.96285731304,143.0,0.018409727457344927,55.0,39.0,37.0
91084.95372062895,355.0,0.16824932511378934,79.0,44.0,25.0
58150.67763391822,478.0,0.09652552444428314,13.0,43.0,54.0
56304.265593312004,139.0,0.09655247760267174,8.0,9.0,86.0
82677.05250121275,458.0,0.10902483763967247,9.0,16.0,23.0
19178.82105083429,265.0,0.18094222018549191,23.0,57.0,93.0
75792.31165142343,115.0,0.13813864656841826,27.0,40.0,96.0
6518.610023801002,421.0,0.05182060088798351,32.0,68.0,94.0
72306.66735644695,324.0,0.1409236395109926,74.0,63.0,30.0
93160.68252913379,399.0,0.17619761523165756,7.0,20.0,71.0
