mean_count sheep,mean_count wolves,mean_grass,min_count sheep,min_count wolves,min_grass,last_count sheep,last_count wolves,last_grass,sd_count sheep,sd_count wolves,sd_grass,trend_count sheep,trend_count wolves,trend_grass,max_count sheep,max_count wolves,max_grass,snap_10_count sheep,snap_10_count wolves,snap_10_grass,snap_50_count sheep,snap_50_count wolves,snap_50_grass,snap_100_count sheep,snap_100_count wolves,snap_100_grass,snap_150_count sheep,snap_150_count wolves,snap_150_grass,snap_199_count sheep,snap_199_count wolves,snap_199_grass
82.995,1046.795,1817.45,0.0,58.0,130.0,0.0,58.0,2601.0,189.22141785485135,823.4925154335041,991.9708753285031,-2.0391187279681984,-5.158092702317556,14.748185704642617,698.0,2494.0,2601.0,533.0,328.0,543.0,2.0,1649.0,490.0,0.0,2010.0,2581.0,0.0,374.0,2601.0,0.0,58.0,2601.0
957.11,219.845,686.99,209.0,20.0,325.0,1308.0,253.0,426.0,483.5075365493284,145.96349192520708,251.40272452779817,-1.13525238130953,0.5855013875346885,-0.45692192304807566,2134.0,508.0,1370.0,465.0,32.0,1079.0,899.0,457.0,582.0,1216.0,342.0,449.0,1089.0,331.0,528.0,1308.0,253.0,426.0
0.915,45.165,2421.79,0.0,0.0,1288.0,0.0,0.0,2601.0,4.168665853723491,98.42808427984347,363.9200267916027,-0.02627240681017025,-1.1096354908872719,4.442449561239031,34.0,384.0,2601.0,4.0,356.0,1482.0,0.0,10.0,2551.0,0.0,0.0,2601.0,0.0,0.0,2601.0,0.0,0.0,2601.0
67.66,192.16,1092.565,0.0,34.0,89.0,0.0,86.0,587.0,103.47789329127258,152.05181485270077,798.9180907796494,0.027884197104927712,-1.8788389709742745,-3.2181662041551,413.0,543.0,2488.0,185.0,217.0,801.0,3.0,529.0,951.0,5.0,111.0,2461.0,358.0,44.0,181.0,0.0,86.0,587.0
212.3,131.875,876.34,1.0,0.0,8.0,853.0,0.0,62.0,248.87647538487835,279.22304592386354,606.8240308359583,2.1612390309757745,-3.1448143703592577,-4.436564914122853,869.0,1049.0,2089.0,126.0,714.0,790.0,2.0,10.0,1318.0,266.0,0.0,1153.0,83.0,0.0,163.0,853.0,0.0,62.0
0.52,60.015,2447.85,0.0,0.0,1316.0,0.0,0.0,2601.0,1.7998888854593205,133.78432185798133,331.4636895649349,-0.01451436285907148,-1.494867621690542,3.8737553438835977,10.0,513.0,2601.0,5.0,462.0,1567.0,0.0,11.0,2570.0,0.0,0.0,2601.0,0.0,0.0,2601.0,0.0,0.0,2601.0
195.875,18.93,304.31,0.0,0.0,36.0,0.0,0.0,211.0,246.17495683964282,38.633212395554324,230.55637900522333,-1.416493662341559,-0.4603705092627315,-1.6301297532438308,926.0,125.0,1307.0,530.0,99.0,438.0,35.0,0.0,349.0,311.0,0.0,812.0,6.0,0.0,125.0,0.0,0.0,211.0
1246.52,5379.49,2014.95,0.0,31.0,519.0,0.0,14237.0,2601.0,2439.4683948762254,7862.073959198045,794.7021124295578,3.030512262806573,110.56501912547813,0.10529663241581025,8573.0,22227.0,2601.0,15.0,340.0,2552.0,33.0,74.0,2519.0,5263.0,263.0,582.0,0.0,10868.0,2601.0,0.0,14237.0,2601.0
330.06,380.18,962.75,0.0,24.0,30.0,0.0,432.0,2356.0,470.67880385672845,317.6917178649768,755.8800086653966,-3.648895222380559,4.795615390384759,8.552675316882924,1504.0,906.0,2356.0,61.0,32.0,1281.0,1207.0,65.0,56.0,190.0,317.0,219.0,0.0,902.0,1615.0,0.0,432.0,2356.0
463.505,274.27,265.725,7.0,85.0,23.0,9.0,376.0,607.0,545.1654519272105,146.39251039585324,264.85439278025973,-5.923147828695715,2.4420550513762844,-0.04477986949673801,2134.0,517.0,1334.0,539.0,85.0,574.0,576.0,143.0,48.0,191.0,248.0,450.0,162.0,451.0,89.0,9.0,376.0,607.0
6.71,133.195,2136.475,0.0,0.0,1059.0,0.0,0.0,2475.0,24.639721995184843,281.7390405588124,505.8097165683924,-0.18871971799294984,-3.202577814445361,7.316357158928975,147.0,1033.0,2475.0,60.0,851.0,1067.0,0.0,37.0,1757.0,0.0,0.0,2475.0,0.0,0.0,2475.0,0.0,0.0,2475.0
