method,parameter,value
rejection,alpha,0.1688368005627671
sabc_4d,alpha,0.12032087453122504
sabc_1d,alpha,0.1151672011602319
loclin,alpha,0.0865598623258459
neuralnet,alpha,0.07500340651934308
lm,alpha,0.15399683812493495
rf,alpha,0.13200176009700754
rfboot,alpha,0.1289461483488363
loess,alpha,0.14054214572871182
average,alpha,0.2938466066925702
rejection,mu,0.021164596530893372
sabc_4d,mu,0.015715305777235202
sabc_1d,mu,0.01572611707009166
loclin,mu,3.916705977327012e-4
neuralnet,mu,6.315611318359565e-4
lm,mu,3.8854101233453786e-4
rf,mu,4.6379615242082796e-4
rfboot,mu,4.222323989326008e-4
loess,mu,4.138879599097723e-4
average,mu,0.05761406973841857
rejection,sigma,0.00248962861958137
sabc_4d,sigma,7.377810197013015e-4
sabc_1d,sigma,7.294284206314598e-4
loclin,sigma,3.042504201952707e-4
neuralnet,sigma,2.9691131967797915e-4
lm,sigma,3.092582875983413e-4
rf,sigma,6.636185045417055e-4
rfboot,sigma,5.304315840427692e-4
loess,sigma,3.185227666327358e-4
average,sigma,0.0025909107579085624
