method,parameter,value
rejection,alpha,0.16944932688661685
sabc_4d,alpha,0.12735488563953556
sabc_1d,alpha,0.11517578984858517
loclin,alpha,0.09082098621503724
neuralnet,alpha,0.08514110892371522
lm,alpha,0.15344324638185966
rf,alpha,0.14475944397412085
loess,alpha,0.1622277555199699
rfboot,alpha,0.13990164617266362
average,alpha,0.2890500475036599
rejection,mu,0.02036041883218289
sabc_4d,mu,0.016705743813222016
sabc_1d,mu,0.017439895206774112
loclin,mu,4.141299958181245e-4
neuralnet,mu,0.001029533031455361
lm,mu,3.7811763027082693e-4
rf,mu,5.649244360604706e-4
loess,mu,3.979143914414369e-4
rfboot,mu,4.2178928285025716e-4
average,mu,0.05921562852676194
rejection,sigma,0.0026156503859160497
sabc_4d,sigma,7.831282925008646e-4
sabc_1d,sigma,7.624836428247874e-4
loclin,sigma,3.391868360215116e-4
neuralnet,sigma,3.2583926790763257e-4
lm,sigma,3.230407535907723e-4
rf,sigma,0.0010787095638209124
loess,sigma,3.368593553889152e-4
rfboot,sigma,8.058277741717474e-4
average,sigma,0.002665227333934375
