method,parameter,value
rejection,scout.prob,0.11635378754069665
sabc_4d,scout.prob,0.0762113177443733
sabc_1d,scout.prob,0.08599581324053039
neuralnet,scout.prob,0.09417170670710848
lm,scout.prob,0.08923906419064394
rf,scout.prob,0.06108973761296908
rfboot,scout.prob,0.059721210087344746
loess,scout.prob,0.07203543235364752
average,scout.prob,0.14443332265654987
rejection,survival.prob,0.0038800499135347314
sabc_4d,survival.prob,0.0030178263965260584
sabc_1d,survival.prob,0.0035012135366439593
neuralnet,survival.prob,0.0028421267338700146
lm,survival.prob,0.0018769783390207239
rf,survival.prob,0.0017324876546055033
rfboot,survival.prob,0.0017106266238172926
loess,survival.prob,0.0016598580868160758
average,survival.prob,0.014406346506220332
