method,parameter,value
rejection,scout.prob,0.14383450524030011
sabc_4d,scout.prob,0.13704986401304217
sabc_1d,scout.prob,0.14382695224342334
neuralnet,scout.prob,0.13482403665151102
lm,scout.prob,0.14441162812782818
rf,scout.prob,0.14787442660268063
rfboot,scout.prob,0.14259859181869555
loess,scout.prob,0.13590328441619837
average,scout.prob,0.14443332265654987
rejection,survival.prob,0.0021433221187260516
sabc_4d,survival.prob,0.003225013587645094
sabc_1d,survival.prob,0.0022762914111667367
neuralnet,survival.prob,0.001673059300771535
lm,survival.prob,0.003525961885551162
rf,survival.prob,0.0018897940116159345
rfboot,survival.prob,0.0018081744182598147
loess,survival.prob,0.0017866844286702967
average,survival.prob,0.014406346506220332
