method,parameter,value
rejection,theta,1.405386645428747
sabc_4d,theta,1.300499635481658
sabc_1d,theta,1.3149622765725866
loclin,theta,1.294876090004219
neuralnet,theta,1.2927714776558248
lm,theta,1.3827997097430453
rf,theta,1.3155919006078272
rfboot,theta,1.286637990817773
loess,theta,1.2802037629446268
average,theta,2.2749342078842534
rejection,rho,2.645778121399043
sabc_4d,rho,2.4522726372456756
sabc_1d,rho,2.495040361415312
loclin,rho,2.419874647884734
neuralnet,rho,2.4178823322680865
lm,rho,2.5411712545492358
rf,rho,2.4852887468889544
rfboot,rho,2.451876838900904
loess,rho,2.444995157526588
average,rho,2.921322548476443
