method,parameter,value
rejection,M,0
sabc_4d,M,0
sabc_1d,M,0
neuralnet,M,NA
lm,M,NA
rf,M,0
rfboot,M,NA
loess,M,NA
average,M,NA
rejection,B_0,385.9868584436522
sabc_4d,B_0,385.3666572040192
sabc_1d,B_0,385.42819260835086
neuralnet,B_0,385.1144845186749
lm,B_0,376.846397407291
rf,B_0,382.7100630275875
rfboot,B_0,378.0730212349099
loess,B_0,376.9706176223421
average,B_0,378.1039514263135
rejection,E,0.0760292890930857
sabc_4d,E,0.07232032079574868
sabc_1d,E,0.07166724774958223
neuralnet,E,0.05287690495630669
lm,E,0.05971084415310228
rf,E,0.03028133088224492
rfboot,E,0.031442012825823026
loess,E,0.0499720155767321
average,E,0.09700183872591436
rejection,E_c,2.619811050743927
sabc_4d,E_c,2.5527040365463445
sabc_1d,E_c,2.5798391048668132
neuralnet,E_c,2.5811423354247656
lm,E_c,2.5770181979848332
rf,E_c,2.5287071087019943
rfboot,E_c,2.5202569776656847
loess,E_c,2.527348457396925
average,E_c,2.6819629512975243
rejection,E_s,1.3681261634805468
sabc_4d,E_s,1.3649586636231883
sabc_1d,E_s,1.3655978875935624
neuralnet,E_s,1.3687745168114258
lm,E_s,1.3526501376155338
rf,E_s,1.376061746870394
rfboot,E_s,1.357373473255154
loess,E_s,1.35040180297987
average,E_s,1.3649377222188626
rejection,IGm,0.04736883853336495
sabc_4d,IGm,0.039632642001259516
sabc_1d,IGm,0.03922754137082772
neuralnet,IGm,0.02103163962365656
lm,IGm,0.026850930556107686
rf,IGm,0.014927678453128604
rfboot,IGm,0.013667845963222658
loess,IGm,0.01719590462969156
average,IGm,0.058884631080927806
rejection,M_b,0.0040775590737596925
sabc_4d,M_b,0.002988350046430304
sabc_1d,M_b,0.003084681507060332
neuralnet,M_b,0.0015142608210145835
lm,M_b,2.83853746587291e-4
rf,M_b,2.938571081325072e-4
rfboot,M_b,5.533073509673233e-4
loess,M_b,2.2937738291433035e-4
average,M_b,0.004306217456649553
rejection,M_c,0.005457121585598034
sabc_4d,M_c,0.005108040524506438
sabc_1d,M_c,0.005169397256934313
neuralnet,M_c,0.005180708937106615
lm,M_c,0.005115248218722484
rf,M_c,0.0048853145241632085
rfboot,M_c,0.004828951312971691
loess,M_c,0.004973907535033797
average,M_c,0.005752171477201581
rejection,M_m,0.1327608350983075
sabc_4d,M_m,0.12569251062016384
sabc_1d,M_m,0.13979027665757013
neuralnet,M_m,0.07986422305477196
lm,M_m,0.025336028204443854
rf,M_m,0.011440975570291195
rfboot,M_m,0.009256327783924828
loess,M_m,0.019022971116291722
average,M_m,0.190733702625947
rejection,M_p,0.08580190133091457
sabc_4d,M_p,0.07114322164479199
sabc_1d,M_p,0.08571636777185557
neuralnet,M_p,0.05912228111872954
lm,M_p,0.08429908597765227
rf,M_p,0.04104392164498904
rfboot,M_p,0.043678577354706385
loess,M_p,0.052240942781354334
average,M_p,0.09713191944662898
rejection,r_B,0.04984592476822955
sabc_4d,r_B,0.04370975282474153
sabc_1d,r_B,0.04397961100328197
neuralnet,r_B,0.0259232183045602
lm,r_B,0.019922362805157707
rf,r_B,0.008469059097680214
rfboot,r_B,0.008985168776187982
loess,r_B,0.007293416787595894
average,r_B,0.06522607931753795
rejection,r_m,0.06912226489344804
sabc_4d,r_m,0.06263615776849663
sabc_1d,r_m,0.06387699532695633
neuralnet,r_m,0.06351037990277811
lm,r_m,0.06208117851960282
rf,r_m,0.06054812774974962
rfboot,r_m,0.06038100475000074
loess,r_m,0.06054955531207609
average,r_m,0.07099501381945648
