method,parameter,value
rejection,A,1.9933505055262883
sabc_4d,A,1.07432757648538
sabc_1d,A,1.2514369353283148
loclin,A,0.19973131023811988
neuralnet,A,0.8953960415778816
lm,A,0.2123928811365042
rf,A,0.2207328300956134
rfboot,A,0.21260404224454474
loess,A,0.20970968455810643
average,A,2.9384660669257014
rejection,B,2.287718260816617
sabc_4d,B,1.2475637822436927
sabc_1d,B,1.3170696384139224
loclin,B,0.980823461015379
neuralnet,B,1.1857998687126219
lm,B,1.1355588100813967
rf,B,0.9000418282604151
rfboot,B,0.8721031295566458
loess,B,1.0139083629901473
average,B,2.8807034869209285
rejection,g,2.749295655412535
sabc_4d,g,1.7242914713210344
sabc_1d,g,1.7145654625127742
loclin,g,1.7826808245975865
neuralnet,g,1.6777529392781083
lm,g,2.001068367069488
rf,g,1.9148582131903875
rfboot,g,1.7619754690195697
loess,g,1.8553039849533786
average,g,2.8787897310095136
rejection,k,1.0851415249962697
sabc_4d,k,1.3792512774014773
sabc_1d,k,1.50428179077704
loclin,k,0.5311411053364713
neuralnet,k,0.42505151562945737
lm,k,2.0143185767345804
rf,k,0.34049037276870947
rfboot,k,0.32682521505254775
loess,k,1.363162589723417
average,k,2.896806334533197
