method,parameter,value
rejection,A,1.925558887500339
sabc_4d,A,1.1889153968301587
sabc_1d,A,1.2644970280077994
loclin,A,0.689238403406087
neuralnet,A,1.0099124687515912
lm,A,0.21131617713743087
rf,A,0.24699758832879734
rfboot,A,0.2203351386748484
loess,A,0.34224163936192864
average,A,2.8905004750365992
rejection,B,2.3837538547275785
sabc_4d,B,1.3884572860883082
sabc_1d,B,1.39085349119128
loclin,B,1.3040433462692138
neuralnet,B,1.3378341441054629
lm,B,1.111122950217108
rf,B,1.0190753375946933
rfboot,B,0.9766535069652327
loess,B,2.130300741926529
average,B,2.9607814263380967
rejection,g,2.808617991468786
sabc_4d,g,1.9077238820079208
sabc_1d,g,1.7837887732425222
loclin,g,2.0046314443711375
neuralnet,g,1.9935521267772114
lm,g,1.9945359641871023
rf,g,2.172742117444275
rfboot,g,1.9921751691096878
loess,g,2.1318391493511477
average,g,2.9613637043715277
rejection,k,1.1087652890720627
sabc_4d,k,1.634616444955862
sabc_1d,k,1.655375348887278
loclin,k,0.6192180034146186
neuralnet,k,0.48426135268926424
lm,k,2.134601890788093
rf,k,0.40021926577291966
rfboot,k,0.38923769799771224
loess,k,1.4091226371941081
average,k,2.944142701321673
