method,parameter,value
rejection,theta1,7.94419067962657
sabc_4d,theta1,6.595929686602335
sabc_1d,theta1,6.585187897668405
loclin,theta1,8391099141887977e12
neuralnet,theta1,5.031500880393887
lm,theta1,4.092862423739198
rf,theta1,4.314674230327204
rfboot,theta1,4.2038606986863165
loess,theta1,4.1293989793213015
average,theta1,13.43863136668136
rejection,theta2,3.6872422030275778
sabc_4d,theta2,3.443796493618131
sabc_1d,theta2,3.350583788026216
loclin,theta2,373361734481203400
neuralnet,theta2,3.2867123526450466
lm,theta2,3.0104503699332303
rf,theta2,2.7486511729366776
rfboot,theta2,2.7156749369700353
loess,theta2,2.7138872165262287
average,theta2,5.94478508215617
