method,parameter,value
rejection,theta1,7.900247140344499
sabc_4d,theta1,7.897977427428411
sabc_1d,theta1,6.617838267573992
loclin,theta1,40927525.44826079
neuralnet,theta1,6.428675949366635
lm,theta1,4.170478754279482
rf,theta1,4.38913734630538
rfboot,theta1,4.214324285881766
loess,theta1,4.111001263276537
average,theta1,13.846803081010775
rejection,theta2,3.677659994589117
sabc_4d,theta2,4.0674007592092
sabc_1d,theta2,3.4890144507740004
loclin,theta2,59085046.1738965
neuralnet,theta2,4.035814210554936
lm,theta2,3.137070282888496
rf,theta2,2.849631679783653
rfboot,theta2,2.7933615382040844
loess,theta2,2.8966944496306657
average,theta2,5.957420884998409
