method,parameter,value
rejection,a,1.2071246214248383
sabc_4d,a,0.6137065400070711
sabc_1d,a,0.6585897294540858
loclin,a,0.2838083767969231
neuralnet,a,0.2104063029783693
lm,a,1.0417762875596845
rf,a,0.1911572968516903
rfboot,a,0.18790408536256983
loess,a,0.4534654846293705
average,a,2.8486330957840056
rejection,b,2.135506959252461
sabc_4d,b,1.6236359173549548
sabc_1d,b,2.1217134430591393
loclin,b,1.3732966590274347
neuralnet,b,0.9690395853932877
lm,b,3.53615775599395
rf,b,1.0015954198959414
rfboot,b,0.9469763684313891
loess,b,1.4661582913719198
average,b,2.8771980130145183
