method,parameter,value
rejection,a,1.340635495619913
sabc_4d,a,0.5916007277396236
sabc_1d,a,0.6448205007791781
loclin,a,6541720.958659589
neuralnet,a,0.088918308128367
lm,a,1.1618584406395536
rf,a,0.021820858693870095
rfboot,a,0.019750503090364687
loess,a,0.22179659630218976
average,a,2.8486330957840056
rejection,b,2.2113792082083603
sabc_4d,b,1.5408721763388529
sabc_1d,b,1.9118252710767836
loclin,b,0.42068155255061973
neuralnet,b,0.08463560338249211
lm,b,3.045030481243144
rf,b,0.09960626068295517
rfboot,b,0.08965446584101103
loess,b,1.2743764266995306
average,b,2.8771980130145183
