method,parameter,value
rejection,theta1,1.1535369988701778
sabc_4d,theta1,1.1411624545172616
sabc_1d,theta1,1.1492266290920565
loclin,theta1,1.1391686325194128
neuralnet,theta1,1.1443726312572866
lm,theta1,1.135486218051251
rf,theta1,1.2285189579026725
rfboot,theta1,1.1498994208873914
loess,theta1,1.1054719361560843
average,theta1,1.4398483727935938
rejection,theta2,1.1252772819480599
sabc_4d,theta2,1.2002707513553539
sabc_1d,theta2,1.1308140849540034
loclin,theta2,1.1289212248813865
neuralnet,theta2,1.1331233418959243
lm,theta2,1.1144418491292656
rf,theta2,1.2060083858070787
rfboot,theta2,1.1417634543356887
loess,theta2,1.0958753311752436
average,theta2,1.411544708591255
