method,parameter,value
rejection,theta1,1.1553706060025801
sabc_4d,theta1,1.1462395520066564
sabc_1d,theta1,1.1532519347561676
loclin,theta1,1.1468826557721377
neuralnet,theta1,1.1823804140163987
lm,theta1,1.1411433413777154
rf,theta1,1.2702286367462519
rfboot,theta1,1.1744049136388433
loess,theta1,1.1111967153332658
average,theta1,1.4163452327679338
rejection,theta2,1.1478609780929336
sabc_4d,theta2,1.1960765982617225
sabc_1d,theta2,1.1599948843110552
loclin,theta2,1.1437366017884276
neuralnet,theta2,1.1831914313925085
lm,theta2,1.143596109985752
rf,theta2,1.244391027146056
rfboot,theta2,1.1484323477845526
loess,theta2,1.1157930107545504
average,theta2,1.4507828989056675
