method,parameter,value
rejection,ma1,0.4545473448182447
sabc_4d,ma1,0.42296341792515774
sabc_1d,ma1,0.4446132774982585
loclin,ma1,0.42338246083412984
neuralnet,ma1,0.401137705892272
lm,ma1,0.51053258127673
rf,ma1,0.3976405089046557
rfboot,ma1,0.37749354580914296
loess,ma1,0.41319298560994977
average,ma1,0.7380096179665252
rejection,ma2,0.3369095616027381
sabc_4d,ma2,0.20017803522240912
sabc_1d,ma2,0.27692213502022506
loclin,ma2,0.21369292253977654
neuralnet,ma2,0.18406863410077987
lm,ma2,0.4208718754262426
rf,ma2,0.18213362898922522
rfboot,ma2,0.17652448031435908
loess,ma2,0.18662170850646634
average,ma2,0.5477840623643212
