method,parameter,value
rejection,ma1,0.4744544700650123
sabc_4d,ma1,0.461881769577674
sabc_1d,ma1,0.48223824145053823
loclin,ma1,0.4769693664348271
neuralnet,ma1,0.47688068491933944
lm,ma1,0.5084936082371494
rf,ma1,0.4253985955851104
rfboot,ma1,0.4066959083568628
loess,ma1,0.43317457267864296
average,ma1,0.7390549988726742
rejection,ma2,0.3436344209303307
sabc_4d,ma2,0.2123058673834285
sabc_1d,ma2,0.29735041502496457
loclin,ma2,0.22786830770756317
neuralnet,ma2,0.21651365493976443
lm,ma2,0.42074156767614923
rf,ma2,0.19634754786568742
rfboot,ma2,0.1843215414496562
loess,ma2,0.1898832887351559
average,ma2,0.5481126239624882
