method,parameter,value
rejection,mu,0.7228309349505371
sabc_4d,mu,0.7443977387019587
sabc_1d,mu,0.7300823344264209
loclin,mu,0.6615723855112867
neuralnet,mu,0.6634259978215286
lm,mu,0.7020241109495976
rf,mu,0.7137491840595115
rfboot,mu,0.6966711620371357
loess,mu,0.6654108653160891
average,mu,2.9397514779113125
rejection,sigma,0.6603580317952991
sabc_4d,sigma,0.6584724061202437
sabc_1d,sigma,0.6633985521536744
loclin,sigma,0.5851767588409535
neuralnet,sigma,0.5865715950436077
lm,sigma,0.6513997412783502
rf,sigma,0.64385909798444
rfboot,sigma,0.6148219322627791
loess,sigma,0.5802621721910459
average,sigma,2.853683924945842
