method,parameter,value
rejection,mu,0.7422060011040649
sabc_4d,mu,0.767152142417138
sabc_1d,mu,0.7479295586299893
loclin,mu,0.6656938310289027
neuralnet,mu,0.6897751672406371
lm,mu,0.6968065520616615
rf,mu,0.7175171266038128
rfboot,mu,0.6939187463858769
loess,mu,0.6704092133837951
average,mu,2.8905004750365992
rejection,sigma,0.6808847255512382
sabc_4d,sigma,0.7045327718733533
sabc_1d,sigma,0.7055256314993001
loclin,sigma,0.5981045191547989
neuralnet,sigma,0.613283706993768
lm,sigma,0.6694035398684183
rf,sigma,0.6598718522463423
rfboot,sigma,0.6287652234797763
loess,sigma,0.5862685614132044
average,sigma,2.9311736120747156
