method,parameter,value
rejection,mu,1.0347045906795596
sabc_4d,mu,0.7533758372394682
loclin,mu,0.6882585889605215
neuralnet,mu,0.8947970806952621
lm,mu,0.7192061691792437
rf,mu,0.709413116250553
loess,mu,0.680715834842105
rfboot,mu,0.6934480747023695
average,mu,2.9384660669257014
rejection,sigma,0.9795980476751159
sabc_4d,sigma,0.6578854248141403
loclin,sigma,0.604116593233333
neuralnet,sigma,0.8349507342645076
lm,sigma,0.652978105032936
rf,sigma,0.6175083375740794
loess,sigma,0.580685613558076
rfboot,sigma,0.5947188040388061
average,sigma,2.851896452051719
