method,parameter,value
rejection,mu,1.0992024000141398
sabc_4d,mu,0.7755733636421241
loclin,mu,0.6865415488346477
neuralnet,mu,0.9251972349906096
lm,mu,0.7115189029045539
rf,mu,0.715342821053395
loess,mu,0.678458373620929
rfboot,mu,0.6792967703256966
average,mu,2.8905004750365992
rejection,sigma,1.013563040737074
sabc_4d,sigma,0.6959666264772515
loclin,sigma,0.6284265581630257
neuralnet,sigma,0.8639572214304091
lm,sigma,0.6537974582401347
rf,sigma,0.6365505654652467
loess,sigma,0.5879128576844196
rfboot,sigma,0.5900583024234922
average,sigma,2.9311736120747156
