method,parameter,value
rejection,mu,107.02887274719198
sabc_4d,mu,107.06041300111607
sabc_1d,mu,107.03125418015891
loclin,mu,14.175443009491188
neuralnet,mu,20.16103059204123
lm,mu,11.761812030747304
rf,mu,55.777444463925406
rfboot,mu,30.665221463237007
loess,mu,9.942157206463254
average,mu,107.4473331015386
rejection,sigma2,1.16414113118261
sabc_4d,sigma2,1.1643274489405169
sabc_1d,sigma2,1.1648106485405598
loclin,sigma2,0.19923710349822527
neuralnet,sigma2,0.22231868236902938
lm,sigma2,0.20132986264139244
rf,sigma2,0.22798624415766217
rfboot,sigma2,0.21302721232058577
loess,sigma2,0.20037907548390707
average,sigma2,2.201357222547393
