method,parameter,value
rejection,mean,1.1374115331871986
sabc_4d,mean,1.142183304256687
sabc_1d,mean,1.1807648739301844
loclin,mean,1.3233307363301203
neuralnet,mean,1.2076741590790088
lm,mean,1.152745898000261
rf,mean,1.2501646619952729
loess,mean,1.1276598089269
rfboot,mean,1.2914871217552617
average,mean,2.8800570026361396
rejection,sd,4.079213882053497
sabc_4d,sd,0.9799461681010231
sabc_1d,sd,2.295108846558362
loclin,sd,4.629678139639438
neuralnet,sd,1.8995553477399079
lm,sd,2.6171156051059707
rf,sd,1.0509433171898863
loess,sd,1.257290404775937
rfboot,sd,1.0529486962527923
average,sd,2.6092175307782086
