method,parameter,value
rejection,mean,1.0961818891812318
sabc_4d,mean,1.2655563108570933
sabc_1d,mean,1.2071914335134188
loclin,mean,1.8469368979972847
neuralnet,mean,1.1818994294986298
lm,mean,1.1193416678396966
rf,mean,1.2887081953129034
loess,mean,1.1728946095131847
rfboot,mean,1.3430689568651428
average,mean,2.9536582341415967
rejection,sd,3.9446518274459974
sabc_4d,sd,1.21303330197699
sabc_1d,sd,2.324776168699551
loclin,sd,5.377882088894538
neuralnet,sd,1.5886097020389693
lm,sd,2.6043126315069243
rf,sd,1.1962347695909565
loess,sd,1.2883814515010257
rfboot,sd,1.1696488869984898
average,sd,2.578006296816034
