method,parameter,value
rejection,weight1,14.16649566466272
sabc_4d,weight1,14.20015657859368
loclin,weight1,14.123909881440005
neuralnet,weight1,14.12619146558379
lm,weight1,14.073717559907069
rf,weight1,18.039840450012615
rfboot,weight1,16.373354595232563
loess,weight1,14.073704217192283
average,weight1,20.152322378392157
rejection,weight2,14.144992846865428
sabc_4d,weight2,14.185942884230082
loclin,weight2,14.122687238817585
neuralnet,weight2,14.124053763979418
lm,weight2,14.072642848873185
rf,weight2,17.971727998620167
rfboot,weight2,16.373670915718225
loess,weight2,14.072657981177862
average,weight2,20.20413838382702
