method,parameter,value
rejection,weight1,14.906917667191559
sabc_4d,weight1,14.967266846429224
loclin,weight1,14.908144000263984
neuralnet,weight1,14.905236372596548
lm,weight1,14.582769535626387
rf,weight1,19.0581109138254
rfboot,weight1,17.393335871601465
loess,weight1,14.582832836477055
average,weight1,20.146726743279952
rejection,weight2,14.894146318368117
sabc_4d,weight2,15.00134143086665
loclin,weight2,14.893413306164694
neuralnet,weight2,14.904459284178797
lm,weight2,14.626489149642907
rf,weight2,19.247063896310916
rfboot,weight2,17.437409894030882
loess,weight2,14.643465921682372
average,weight2,20.342716657542812
