method,parameter,value
rejection,mean,14.366752504125833
sabc_4d,mean,14.424456358585156
sabc_1d,mean,14.391941667072402
loclin,mean,14.451692167730528
neuralnet,mean,14.647319664206984
lm,mean,14.328823808200722
rf,mean,15.76119368003213
rfboot,mean,14.880598699772907
loess,mean,14.333066031364192
average,mean,14.32692298316061
rejection,sd,7.236230099588659
sabc_4d,sd,7.248901665054893
sabc_1d,sd,7.245192741367713
loclin,sd,7.255299126142533
neuralnet,sd,7.317624905096561
lm,sd,7.200869510283035
rf,sd,7.820933241489933
rfboot,sd,7.3841429510051695
loess,sd,7.202594348671947
average,sd,7.205282273190287
