method,parameter,value
rejection,mean,14.824967545667956
sabc_4d,mean,15.05137543450368
sabc_1d,mean,14.88709482289365
loclin,mean,15.073559428344574
neuralnet,mean,15.576842600144596
lm,mean,14.52741008737139
rf,mean,16.490904224166485
rfboot,mean,15.119223395697922
loess,mean,14.552513399416894
average,mean,14.524863350711817
rejection,sd,7.447873253154133
sabc_4d,sd,7.517467306916956
sabc_1d,sd,7.625043738720844
loclin,sd,7.590053333533989
neuralnet,sd,7.991907887325773
lm,sd,7.355269706205152
rf,sd,8.360987672425761
rfboot,sd,7.694418953375221
loess,sd,7.3547671021257655
average,sd,7.34101199036512
