method,parameter,value
rejection,sigma,0.005831918510799043
sabc_4d,sigma,0.005865226104974643
sabc_1d,sigma,0.005846540084948909
loclin,sigma,0.0072348937377517165
neuralnet,sigma,0.006038887179169047
lm,sigma,0.005870134606370998
rf,sigma,0.006174537937280687
rfboot,sigma,0.005898416177623805
loess,sigma,0.005833016014938484
average,sigma,0.005793844973265621
rejection,beta,0.013520558879003311
sabc_4d,beta,0.015425615802466817
sabc_1d,beta,0.01524913962249346
loclin,beta,0.004261571448124402
neuralnet,beta,0.005355147102742501
lm,beta,0.006675598688848473
rf,beta,0.007091104624509257
rfboot,beta,0.006400022425621472
loess,beta,0.0033175704950677205
average,beta,0.030807869247451485
rejection,delta,0.0014327196276853
sabc_4d,delta,9.651053165757709e-4
sabc_1d,delta,0.0010395230182732996
loclin,delta,0.001061415829841884
neuralnet,delta,9.199674114333026e-4
lm,delta,0.0010844882236262416
rf,delta,0.001432858964540724
rfboot,delta,0.0013790815399651619
loess,delta,0.0010359036365306083
average,delta,0.0014347096195740023
rejection,eta,0.11409726638867325
sabc_4d,eta,0.10502466911835943
sabc_1d,eta,0.10656439743687954
loclin,eta,0.11762476073883568
neuralnet,eta,0.10567883236915797
lm,eta,0.10753683042595838
rf,eta,0.11700973235787152
rfboot,eta,0.11411045459659899
loess,eta,0.10667099056285129
average,eta,0.11403100402576485
rejection,mu,0.017376268357145553
sabc_4d,mu,0.017187249685243565
sabc_1d,mu,0.017286007689347904
loclin,mu,0.01916358955089182
neuralnet,mu,0.017563476026820946
lm,mu,0.017294330105229433
rf,mu,0.018039585890770607
rfboot,mu,0.017444761630993608
loess,mu,0.017293215333558973
average,mu,0.017302899072138132
rejection,phi,0.02435771158967863
sabc_4d,phi,0.021256657507385885
sabc_1d,phi,0.019396986269474604
loclin,phi,0.007558619108259335
neuralnet,phi,0.0062874076875499806
lm,phi,0.010577582153441754
rf,phi,0.014050497188886901
rfboot,phi,0.013608048349180725
loess,phi,0.008133150317674372
average,phi,0.04119151853453854
