method,parameter,value
rejection,sigma,0.004239016467914867
sabc_4d,sigma,0.0030474883759769754
sabc_1d,sigma,0.003446061213494075
neuralnet,sigma,0.0030784876796228528
lm,sigma,0.003370989526685164
rf,sigma,0.0029134444812665187
rfboot,sigma,0.0028417154019547857
loess,sigma,0.0024244974831863653
average,sigma,0.0057345472883636875
rejection,beta,0.016403664195941137
sabc_4d,beta,0.012253556557650485
sabc_1d,beta,0.013104990309680745
neuralnet,beta,0.009525124526598202
lm,beta,0.00200269591706046
rf,beta,0.003636022779400257
rfboot,beta,0.003517209717395339
loess,beta,0.0010420060761833242
average,beta,0.030772248850273687
rejection,delta,0.001421858226095017
sabc_4d,delta,7.319988566269952e-4
sabc_1d,delta,0.0011483769816061024
neuralnet,delta,7.13954549066015e-4
lm,delta,0.0011881772507197068
rf,delta,0.0013793912645215848
rfboot,delta,0.0013471837728548865
loess,delta,6.14675579228231e-4
average,delta,0.001434825339382235
rejection,eta,0.1145320936130659
sabc_4d,eta,0.0512982840891997
sabc_1d,eta,0.062215715437508
neuralnet,eta,0.03177809386797028
lm,eta,0.060034213610964574
rf,eta,0.09735231553365208
rfboot,eta,0.07670946516169239
loess,eta,0.04585240423429281
average,eta,0.11429089121680097
rejection,mu,0.01729943094442197
sabc_4d,mu,0.008008306208964287
sabc_1d,mu,0.00762583952077904
neuralnet,mu,0.003948594024626361
lm,mu,0.00623687102509468
rf,mu,0.0168848280387159
rfboot,mu,0.01652907861927468
loess,mu,0.008802210232450258
average,mu,0.01728254491185995
rejection,phi,0.025669655150835524
sabc_4d,phi,0.01751104671653282
sabc_1d,phi,0.017682397899961774
neuralnet,phi,0.013921314195518142
lm,phi,0.006584445500960417
rf,phi,0.011166197788593095
rfboot,phi,0.010534081217118905
loess,phi,0.0054038859758544205
average,phi,0.041708637194259525
