method,parameter,value
rejection,param_1,0.04012923491911601
sabc_4d,param_1,0.03395511688747662
sabc_1d,param_1,0.034853330257704214
loclin,param_1,0.03310697977272791
neuralnet,param_1,0.03806224176053454
lm,param_1,0.03572733419861885
rf,param_1,0.032797508244163914
rfboot,param_1,0.032072157917221025
loess,param_1,0.03203379820168796
average,param_1,0.05462430698697144
rejection,param_2,0.1944403615705155
sabc_4d,param_2,0.17451371481089503
sabc_1d,param_2,0.17878214405152268
loclin,param_2,0.16493746836913573
neuralnet,param_2,0.18853990885094418
lm,param_2,0.18037615418492073
rf,param_2,0.17863185286782926
rfboot,param_2,0.17068143677029546
loess,param_2,0.1681289932329112
average,param_2,0.28882791127589225
rejection,param_3,0.2238754428221961
sabc_4d,param_3,0.19993499158553912
sabc_1d,param_3,0.20571015508199686
loclin,param_3,0.1894772743972586
neuralnet,param_3,0.21770060054088117
lm,param_3,0.21419383678217455
rf,param_3,0.20193152867736527
rfboot,param_3,0.19427281185866102
loess,param_3,0.1930971802879527
average,param_3,0.2927976564452484
rejection,param_4,0.056833672100296315
sabc_4d,param_4,0.051841887355839965
sabc_1d,param_4,0.053189490033851615
loclin,param_4,0.0496691780301658
neuralnet,param_4,0.05500594508042622
lm,param_4,0.05224557778610148
rf,param_4,0.0533064711927023
rfboot,param_4,0.050556400277957804
loess,param_4,0.05025261169636996
average,param_4,0.06976142691001602
