method,parameter,value
rejection,a,0.10178433538806765
sabc_4d,a,0.10129766300369733
sabc_1d,a,0.10129883195233234
loclin,a,0.09534932314207711
neuralnet,a,0.0957111789906843
lm,a,0.11123747125440969
rf,a,0.09970892147509432
loess,a,0.09570817659886133
rfboot,a,0.09919133761037444
average,a,0.2895067758687522
rejection,b,0.1478315027805792
sabc_4d,b,0.14254398068624025
sabc_1d,b,0.14313407497595984
loclin,b,0.14116925178140702
neuralnet,b,0.14188153562209788
lm,b,0.15362630382437417
rf,b,0.1473868171425398
loess,b,0.14204460612666758
rfboot,b,0.14654887436330388
average,b,0.28761401155478733
