method,parameter,value
rejection,a,0.10325909617949616
sabc_4d,a,0.10453902393888262
sabc_1d,a,0.10336141196673979
loclin,a,0.09701029498748268
neuralnet,a,0.098576769939305
lm,a,0.11254369209426424
rf,a,0.1027597593209507
rfboot,a,0.1019849210290446
loess,a,0.09768622399080211
average,a,0.2886104328669911
rejection,b,0.15303055064068127
sabc_4d,b,0.14856857289976658
sabc_1d,b,0.1491837364957159
loclin,b,0.14635056210088424
neuralnet,b,0.15013278416080994
lm,b,0.1593163699041284
rf,b,0.15659625819133224
rfboot,b,0.15415816713807465
loess,b,0.1475696634984809
average,b,0.2859023302133927
