method,parameter,value
rejection,I,0.2722475009923784
sabc_4d,I,0.29089133484355806
sabc_1d,I,0.2048310488316867
loclin,I,0.07935821708298656
neuralnet,I,0.09519397424027719
lm,I,0.18009412459057533
rf,I,0.0678017708167919
rfboot,I,0.06875617731010072
loess,I,0.09906812031771749
average,I,0.576291281535731
rejection,h,32.76919776556692
sabc_4d,h,31.50837081622798
sabc_1d,h,32.51956026665293
loclin,h,30.70666706954677
neuralnet,h,31.000287858212964
lm,h,32.24246276257015
rf,h,33.11406134430621
rfboot,h,31.48754004881492
loess,h,31.039110988007742
average,h,43.14417690856829
rejection,A,0.7643627202570137
sabc_4d,A,0.7059534388573522
sabc_1d,A,0.8664885670971906
loclin,A,0.6464957009842197
neuralnet,A,0.629347953855554
lm,A,1.3723432012217482
rf,A,0.6783521706994095
rfboot,A,0.6094689474758177
loess,A,0.5639041552020702
average,A,1.402930973029349
rejection,sigma,7.058469930453491
sabc_4d,sigma,7.0929697775156875
sabc_1d,sigma,7.074307567931495
loclin,sigma,7.18656018365289
neuralnet,sigma,7.245792309736292
lm,sigma,7.036799394424758
rf,sigma,7.800045421551257
rfboot,sigma,7.306148909345038
loess,sigma,7.038750268162656
average,sigma,7.033044784405795
