method,parameter,value
rejection,I,0.2653314685174828
sabc_4d,I,0.2731009164716546
sabc_1d,I,0.21239902131761193
loclin,I,0.08615066225766413
neuralnet,I,0.10080788718150592
lm,I,0.1780330757446705
rf,I,0.08454194932810044
rfboot,I,0.08202365210000756
loess,I,0.10199907888799163
average,I,0.571260986245735
rejection,h,32.854802916836704
sabc_4d,h,31.353145262504764
sabc_1d,h,32.31593458244516
loclin,h,38.83060286781407
neuralnet,h,32.92343738038727
lm,h,31.804524239534114
rf,h,34.469802215672964
rfboot,h,31.945333969172193
loess,h,30.78931367814378
average,h,43.226347871190264
rejection,A,0.8004289208388777
sabc_4d,A,0.7122459910899238
sabc_1d,A,0.8463258237869618
loclin,A,1.6244048978460723
neuralnet,A,0.7150953358033971
lm,A,1.3811122360287713
rf,A,0.7166793039784811
rfboot,A,0.6521206917511964
loess,A,0.5924806376831556
average,A,1.3973023441709798
rejection,sigma,7.153456190078594
sabc_4d,sigma,7.184122827151365
sabc_1d,sigma,7.156214019704043
loclin,sigma,7.432047168471807
neuralnet,sigma,7.782082148905354
lm,sigma,7.055034863505623
rf,sigma,7.676306855473727
rfboot,sigma,7.218859860810178
loess,sigma,7.066185501251878
average,sigma,7.034433603350628
