method,parameter,value
rejection,alpha,0.6721641292430296
sabc_4d,alpha,0.5447546574373835
sabc_1d,alpha,0.5416430555724457
loclin,alpha,0.333351606252168
neuralnet,alpha,0.25278571082667095
lm,alpha,0.561253893141932
rf,alpha,0.5284337593042873
rfboot,alpha,0.5293720983358536
loess,alpha,0.5166861328874465
average,alpha,1.1518791548444682
rejection,mu,0.08212624112770636
sabc_4d,mu,0.10104125153281052
sabc_1d,mu,0.10122412998585403
loclin,mu,0.0014483835778756522
neuralnet,mu,0.0021844975104067244
lm,mu,0.001584672351689535
rf,mu,0.002811442031244048
rfboot,mu,0.004106326696809364
loess,mu,0.0016835832935849105
average,mu,0.22589649501978057
rejection,sigma,0.008438645630532093
sabc_4d,sigma,0.004595503742866454
sabc_1d,sigma,0.004541704286352704
loclin,sigma,0.0010911285670468147
neuralnet,sigma,0.0010114546425444026
lm,sigma,0.0012555193303985098
rf,sigma,0.005089327415104945
rfboot,sigma,0.0028191905121640218
loess,sigma,0.0012711055027619662
average,sigma,0.010152292235189247
