method,parameter,value
rejection,scout.prob,0.4219472834272036
sabc_4d,scout.prob,0.2938105707646837
sabc_1d,scout.prob,0.31935012555231806
neuralnet,scout.prob,0.2708300556881405
lm,scout.prob,0.35079149659575243
rf,scout.prob,0.25885256095540704
rfboot,scout.prob,0.27252715648254705
loess,scout.prob,0.28924208444930294
average,scout.prob,0.5662835254348724
rejection,survival.prob,0.016240816604632894
sabc_4d,survival.prob,0.018562549666803003
sabc_1d,survival.prob,0.019360551642978004
neuralnet,survival.prob,0.011091701605147936
lm,survival.prob,0.007910139324000334
rf,survival.prob,0.005744593716412263
rfboot,survival.prob,0.008634674560096695
loess,survival.prob,0.007360241117579509
average,survival.prob,0.05645963729816077
