method,parameter,value
rejection,scout.prob,0.47028718588583984
sabc_4d,scout.prob,0.45664919170092033
sabc_1d,scout.prob,0.46665500941837673
neuralnet,scout.prob,0.4454280425548691
lm,scout.prob,0.47177475927369467
rf,scout.prob,0.41905966023888147
rfboot,scout.prob,0.5498532903877583
loess,scout.prob,0.4700113862108601
average,scout.prob,0.5662835254348724
rejection,survival.prob,0.008853541581468194
sabc_4d,survival.prob,0.019489629448396408
sabc_1d,survival.prob,0.00916524909764273
neuralnet,survival.prob,0.005201225739185469
lm,survival.prob,0.014378445310692678
rf,survival.prob,0.00590283174678509
rfboot,survival.prob,0.008693456033246895
loess,survival.prob,0.007940264186801714
average,survival.prob,0.05645963729816077
