method,parameter,value
rejection,theta,5.874965073241665
sabc_4d,theta,5.402177674831217
sabc_1d,theta,5.393342811973439
loclin,theta,4.581354152873176
neuralnet,theta,4.615492512101108
lm,theta,5.226822463642556
rf,theta,4.69077904361221
rfboot,theta,5.879260807902016
loess,theta,5.056160909906197
average,theta,9.068800076292845
rejection,rho,9.389839030697383
sabc_4d,rho,8.847015087797493
sabc_1d,rho,8.992882215294474
loclin,rho,8.573413688622912
neuralnet,rho,8.49190092226923
lm,rho,9.217238779554894
rf,rho,8.63837149401037
rfboot,rho,10.881147000962077
loess,rho,9.052719399083296
average,rho,11.332366936008068
