method,parameter,value
rejection,M,0
sabc_4d,M,0
sabc_1d,M,0
neuralnet,M,NA
lm,M,NA
rf,M,0
rfboot,M,NA
loess,M,NA
average,M,NA
rejection,B_0,1431.1657131999996
sabc_4d,B_0,1429.5807735999997
sabc_1d,B_0,1429.9447395999996
neuralnet,B_0,1431.3203953256675
lm,B_0,1398.8698044687208
rf,B_0,1442.0490195999996
rfboot,B_0,1556.9581415259563
loess,B_0,1435.9331942307917
average,B_0,1465.7414602589215
rejection,E,0.3030170799999999
sabc_4d,E,0.3133083999999999
sabc_1d,E,0.3075557599999999
neuralnet,E,0.19461243437737694
lm,E,0.2348865071512594
rf,E,0.11643233999999995
rfboot,E,0.17048114982591653
loess,E,0.19541736816119462
average,E,0.38441640397181187
rejection,E_c,10.581858959999996
sabc_4d,E_c,9.964563139999997
sabc_1d,E_c,10.121738799999997
neuralnet,E_c,10.300915627516561
lm,E_c,9.838445372984602
rf,E_c,9.784833379999997
rfboot,E_c,12.188346488175675
loess,E_c,9.957120815799328
average,E_c,10.634662683587042
rejection,E_s,5.463290479999998
sabc_4d,E_s,5.330564359999999
sabc_1d,E_s,5.358064739999999
neuralnet,E_s,5.4159186419225716
lm,E_s,5.215424315748605
rf,E_s,5.302438079999998
rfboot,E_s,6.794950237980908
loess,E_s,5.317527617341613
average,E_s,5.469057767089485
rejection,IGm,0.19153060799999994
sabc_4d,IGm,0.15773659799999998
sabc_1d,IGm,0.16400799999999996
neuralnet,IGm,0.0836838203204287
lm,IGm,0.10784169760632414
rf,IGm,0.08215563599999998
rfboot,IGm,0.07830786927084359
loess,IGm,0.07287096654456146
average,IGm,0.22805234586459777
rejection,M_b,0.015300911999999995
sabc_4d,M_b,0.011696703999999997
sabc_1d,M_b,0.011757859999999997
neuralnet,M_b,0.004111394163833582
lm,M_b,9.648765886342077e-4
rf,M_b,0.0010333
rfboot,M_b,0.010647094140767728
loess,M_b,8.5584917802878e-4
average,M_b,0.016802050834567574
rejection,M_c,0.022125859999999994
sabc_4d,M_c,0.019849341999999996
sabc_1d,M_c,0.020409757999999993
neuralnet,M_c,0.02088334070508008
lm,M_c,0.019930706398013222
rf,M_c,0.018960963999999993
rfboot,M_c,0.03166465573158785
loess,M_c,0.019675694422474792
average,M_c,0.02279867088519269
rejection,M_m,0.4252284919999999
sabc_4d,M_m,0.4912832359999999
sabc_1d,M_m,0.4616723099999999
neuralnet,M_m,0.3053319684683433
lm,M_m,0.07599977073910597
rf,M_m,0.024394579999999985
rfboot,M_m,0.049552287087847466
loess,M_m,0.054626075113694314
average,M_m,0.7616722329346066
rejection,M_p,0.3379284319999999
sabc_4d,M_p,0.2901093199999999
sabc_1d,M_p,0.3186870339999999
neuralnet,M_p,0.24665140738820898
lm,M_p,0.32805458308265745
rf,M_p,0.17517330199999995
rfboot,M_p,0.2342849864223782
loess,M_p,0.22046144976724916
average,M_p,0.3804184626098984
rejection,r_B,0.20844702399999993
sabc_4d,r_B,0.18032167599999996
sabc_1d,r_B,0.18144768599999997
neuralnet,r_B,0.08588153156189016
lm,r_B,0.08281336766935046
rf,r_B,0.04750997799999999
rfboot,r_B,0.05635221338832288
loess,r_B,0.027708534689871542
average,r_B,0.2697398977112745
rejection,r_m,0.2500962519999999
sabc_4d,r_m,0.23793928399999992
sabc_1d,r_m,0.23971059999999994
neuralnet,r_m,0.238965284663352
lm,r_m,0.23707883219302286
rf,r_m,0.23073238999999993
rfboot,r_m,0.2764480254386443
loess,r_m,0.23885198378129868
average,r_m,0.27626385856260016
