method,parameter,value
rejection,A,6.5125442808540415
sabc_4d,A,6.375014598784398
sabc_1d,A,6.542302257611301
loclin,A,0.6745679401701878
neuralnet,A,1.535513861981565
lm,A,0.9168790903466034
rf,A,1.4121626500624578
rfboot,A,0.9460059181032051
loess,A,0.8478965361433842
average,A,11.51879154844468
rejection,B,8.661571507275255
sabc_4d,B,6.156752218552144
sabc_1d,B,5.863749043596758
loclin,B,3.1647803806445665
neuralnet,B,3.2951996286539793
lm,B,4.624504439992051
rf,B,4.796507420472195
rfboot,B,3.694651572436352
loess,B,4.017480115045439
average,B,11.294824750989028
rejection,g,9.335244585665583
sabc_4d,g,7.234045905531477
sabc_1d,g,7.341122121148988
loclin,g,6.596498271673966
neuralnet,g,4.9611738679638835
lm,g,7.595519187293247
rf,g,7.786907748628593
rfboot,g,7.11988463502543
loess,g,7.199253217870264
average,g,11.28032470576583
rejection,k,3.770469889763928
sabc_4d,k,6.253527933674155
sabc_1d,k,6.683856965929072
loclin,k,1.9699190916263458
neuralnet,k,1.450581952914907
lm,k,7.5279382670755925
rf,k,1.8199825714910516
rfboot,k,1.3897180503351243
loess,k,4.696248471329592
average,k,11.355212104127483
